METADATA

SEPARATOR COMMA
FIELD_LABELS,Class,Order,Family,Subfamily,Genus,Species,Virus name(s)
NC_060132,Caudoviricetes,,,Deeyouvirinae,Nevillevirus,Nevillevirus trax,Gordonia phage Trax
NC_060133,Caudoviricetes,,,Deeyouvirinae,Nevillevirus,Nevillevirus rabbitrun,Gordonia phage Rabbitrun
NC_060134,Caudoviricetes,,,Deeyouvirinae,Octobienvirus,Octobienvirus octobien14,Gordonia phage Octobien14
NC_060135,Caudoviricetes,,,Deeyouvirinae,Octobienvirus,Octobienvirus sephiroth,Gordonia Phage Sephiroth
NC_060136,Caudoviricetes,,,Deeyouvirinae,Octobienvirus,Octobienvirus kudefre,Gordonia phage Kudefre
NC_060137,Caudoviricetes,,,Deeyouvirinae,Octobienvirus,Octobienvirus syleon,Gordonia phage Syleon
NC_061418,Caudoviricetes,,,,Siatvirus,Siatvirus Lz245,Klebsiella phage KpLz-2_45
NC_061421,Caudoviricetes,,,,Maaswegvirus,Maaswegvirus Kp24,Klebsiella phage vB_KpM_FBKp24
NC_061432,Caudoviricetes,,,,Casadabanvirus,Casadabanvirus R24,Pseudomonas phage YMC12/01/R24
NC_061433,Caudoviricetes,,,,Casadabanvirus,Casadabanvirus spike,Pseudomonas phage Spike
NC_061434,Caudoviricetes,,,,Casadabanvirus,Casadabanvirus R960,Pseudomonas phage YMC12/01/R960
NC_061435,Caudoviricetes,,,,Casadabanvirus,Casadabanvirus JBD26,Pseudomonas phage JBD26
NC_061436,Caudoviricetes,,,,Casadabanvirus,Casadabanvirus AIIMSPaB1,Pseudomonas phage AIIMS-Pa-B1
NC_061437,Caudoviricetes,,,,Casadabanvirus,Casadabanvirus HW12,Pseudomonas phage vB_PaeS_PAO1_HW12
NC_061438,Caudoviricetes,,,,Casadabanvirus,Casadabanvirus FET309,Pseudomonas phage F_ET309sp/Pa1651
NC_061439,Caudoviricetes,,,,Casadabanvirus,Casadabanvirus PfII40a,Pseudomonas phage vB_PaeS_PcyII-40_PfII40a
NC_061440,Caudoviricetes,,,,Alexandravirus,Alexandravirus SNUABM22,Erwinia phage pEa_SNUABM_22
NC_061441,Caudoviricetes,,,,Alexandravirus,Alexandravirus SNUABM16,Erwinia phage pEa_SNUABM_16
NC_061442,Caudoviricetes,,,,Alexandravirus,Alexandravirus SNUABM35,Erwinia phage pEa_SNUABM_35
NC_061443,Caudoviricetes,,,,Alexandravirus,Alexandravirus SNUABM2,Erwinia phage pEa_SNUABM_2
NC_061444,Caudoviricetes,,,,Alexandravirus,Alexandravirus SNUABM32,Erwinia phage pEa_SNUABM_32
NC_061445,Caudoviricetes,,,,Alexandravirus,Alexandravirus SNUABM3,Erwinia phage pEa_SNUABM_3
NC_061446,Caudoviricetes,,,,Alexandravirus,Alexandravirus SNUABM30,Erwinia phage pEa_SNUABM_30
NC_061447,Caudoviricetes,,,,Alexandravirus,Alexandravirus SNUABM33,Erwinia phage pEa_SNUABM_33
NC_061448,Caudoviricetes,,,,Alexandravirus,Alexandravirus SNUABM1,Erwinia phage pEa_SNUABM_1
NC_061449,Caudoviricetes,,,,Alexandravirus,Alexandravirus SNUABM17,Erwinia phage pEa_SNUABM_17
NC_061450,Caudoviricetes,,,,Rivsvirus,Rivsvirus SNUABM5,Erwinia phage pEa_SNUABM_5
NC_061451,Caudoviricetes,,,,Snuvirus,Snuvirus SNUABM7,Erwinia phage pEa_SNUABM_7
NC_062581,Caudoviricetes,,,,Tepukevirus,Tepukevirus Psa21,Pseudomonas phage Psa21
NC_062582,Caudoviricetes,,,,Phabiovirus,Phabiovirus phabio,Pseudomonas phage Phabio
NC_062734,Caudoviricetes,Pantevenvirales,Kyanoviridae,,Lowelvirus,Lowelvirus tuscon4d,Synechococcus phage ACG-2014d
NC_062735,Caudoviricetes,Pantevenvirales,Kyanoviridae,,Potamoivirus,Potamoivirus tusconj,Synechococcus phage ACG-2014j
NC_062736,Caudoviricetes,Pantevenvirales,Kyanoviridae,,Chalconvirus,Chalconvirus acg2014e,Synechococcus phage ACG-2014e
NC_062741,Caudoviricetes,,,,Elemovirus,Elemovirus elemoB,Flavobacterium phage vB_FspP_elemoB_14-3B
NC_062742,Caudoviricetes,,,Stephanstirmvirinae,Phapecoctavirus,Phapecoctavirus TSP7,Dompiswa phage TSP7_1
NC_062743,Caudoviricetes,,,,Elemovirus,Elemovirus elemoC,Flavobacterium phage vB_FspP_elemoC_14-1A
NC_062744,Caudoviricetes,,Pervagoviridae,,Callevirus,Callevirus Calle,Cellulophaga phage Calle_1
NC_062745,Caudoviricetes,,Forsetiviridae,,Freyavirus,Freyavirus danklef,Polaribacter phage Danklef_1
NC_062746,Caudoviricetes,,Forsetiviridae,,Freyavirus,Freyavirus freya,Polaribacter phage Freya_1
NC_062747,Caudoviricetes,,Pachyviridae,,Gundelvirus,Gundelvirus Gundel,Tenacibaculum phage Gundel_1
NC_062748,Caudoviricetes,,Aggregaviridae,,Harrekavirus,Harrekavirus harreka,Olleya phage Harreka_1
NC_062749,Caudoviricetes,,Duneviridae,,Ingelinevirus,Ingelinevirus ingeline,Cellulophaga phage Ingeline_1
NC_062750,Caudoviricetes,,Helgolandviridae,,Leefvirus,Leefvirus Leef,Polaribacter phage Leef_1
NC_062751,Caudoviricetes,,Molycolviridae,,Mollyvirus,Mollyvirus molly,Maribacter phage Molly_1
NC_062752,Caudoviricetes,,Molycolviridae,,Mollyvirus,Mollyvirus colly,Maribacter phage Colly_1
NC_062753,Caudoviricetes,,Assiduviridae,,Nekkelsvirus,Nekkelsvirus Nekkels,Cellulophaga phage Nekkels_1
NC_062754,Caudoviricetes,,Winoviridae,,Peternellavirus,Peternellavirus peternella,Winogradskyella phage Peternella_1
NC_062764,Caudoviricetes,Crassvirales,Intestiviridae,Crudevirinae,Diorhovirus,Diorhovirus copri,uncultured phage cr49_1
NC_062765,Caudoviricetes,Crassvirales,Suoliviridae,Boorivirinae,Cohcovirus,Cohcovirus splanchnicus,uncultured phage cr30_1
NC_062766,Caudoviricetes,Crassvirales,Intestiviridae,Crudevirinae,Delmidovirus,Delmidovirus copri,uncultured phage cr123_1
NC_062767,Caudoviricetes,Crassvirales,Suoliviridae,Boorivirinae,Culoivirus,Culoivirus faecalis,uncultured phage cr149_1
NC_062768,Caudoviricetes,Crassvirales,Steigviridae,Asinivirinae,Kolpuevirus,Kolpuevirus coli,uncultured phage cr151_1
NC_062769,Caudoviricetes,Crassvirales,Intestiviridae,Churivirinae,Jahgtovirus,Jahgtovirus gastrointestinalis,uncultured phage cr36_1
NC_062770,Caudoviricetes,Crassvirales,Intestiviridae,Crudevirinae,Drivevirus,Drivevirus gastrointestinalis,uncultured phage cr91_1
NC_062771,Caudoviricetes,Crassvirales,Intestiviridae,Crudevirinae,Carjivirus,Carjivirus hominis,uncultured phage cr99_1
NC_062772,Caudoviricetes,Crassvirales,Suoliviridae,Boorivirinae,Canhaevirus,Canhaevirus faecalis,uncultured phage cr77_1
NC_062773,Caudoviricetes,Crassvirales,Steigviridae,Asinivirinae,Kahnovirus,Kahnovirus copri,uncultured phage cr44_1
NC_062774,Caudoviricetes,Crassvirales,Intestiviridae,Churivirinae,Jahgtovirus,Jahgtovirus intestinalis,uncultured phage cr54_1
NC_062776,Caudoviricetes,Crassvirales,Intestiviridae,Crudevirinae,Dabirmavirus,Dabirmavirus hominis,uncultured phage cr9_1
NC_062777,Caudoviricetes,Crassvirales,Crevaviridae,Coarsevirinae,Junduvirus,Junduvirus copri,uncultured phage cr25_1
NC_062778,Caudoviricetes,Crassvirales,Intestiviridae,Crudevirinae,Endlipuvirus,Endlipuvirus intestinihominis,uncultured phage cr17_1
NC_062779,Caudoviricetes,Crassvirales,Crevaviridae,Coarsevirinae,Junduvirus,Junduvirus communis,uncultured phage cr2_1
NC_062780,Caudoviricetes,Crassvirales,Crevaviridae,Doltivirinae,Kingevirus,Kingevirus communis,uncultured phage cr13_1
NC_067194,Caudoviricetes,Crassvirales,Intestiviridae,Crudevirinae,Carjivirus,Carjivirus communis,crAssphage
NC_067209,Caudoviricetes,Crassvirales,Suoliviridae,Oafivirinae,Bohxovirus,Bohxovirus oralis,uncultured phage cr61_1
NC_067210,Caudoviricetes,Crassvirales,Suoliviridae,Bearivirinae,Afonbuvirus,Afonbuvirus intestinihominis,uncultured phage cr12_1
NC_067211,Caudoviricetes,Crassvirales,Suoliviridae,Loutivirinae,Buchavirus,Buchavirus intestinalis,uncultured phage cr105_1
NC_067212,Caudoviricetes,Crassvirales,Suoliviridae,Uncouvirinae,Birpovirus,Birpovirus hominis,uncultured phage cr19_1
NC_067213,Caudoviricetes,Crassvirales,Suoliviridae,Loutivirinae,Blohavirus,Blohavirus faecalis,uncultured phage cr150_1
NC_067214,Caudoviricetes,Crassvirales,Suoliviridae,Loutivirinae,Buchavirus,Buchavirus oralis,uncultured phage cr82_1
NC_067215,Caudoviricetes,Crassvirales,Suoliviridae,Oafivirinae,Burzaovirus,Burzaovirus intestinihominis,uncultured phage cr29_1
NC_067216,Caudoviricetes,Crassvirales,Suoliviridae,Loutivirinae,Buchavirus,Buchavirus hiberniae,uncultured phage cr16_1
NC_067217,Caudoviricetes,Crassvirales,Suoliviridae,Bearivirinae,Afonbuvirus,Afonbuvirus coli,uncultured phage cr35_1
NC_067218,Caudoviricetes,Crassvirales,Suoliviridae,Uncouvirinae,Aurodevirus,Aurodevirus hiberniae,uncultured phage cr23_1
NC_067270,Caudoviricetes,,,Ceeclamvirinae,Bixzunavirus,Bixzunavirus I3,Mycobacterium phage I3
NC_068555,Caudoviricetes,,Schitoviridae,,Efbeekayvirus,Efbeekayvirus Fbkp27,Klebsiella phage vB_KpP_FBKp27
NC_070650,Caudoviricetes,,,,Eowynvirus,Eowynvirus eowyn,Klebsiella phage vB_KvM-Eowyn
NC_070651,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus mv128,Streptococcus phage 128
NC_070652,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus mv53,Streptococcus phage 53
NC_070653,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus mv73,Streptococcus phage 73
NC_070654,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus mv7A5,Streptococcus phage 7A5
NC_070655,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus B0,Streptococcus phage B0
NC_070656,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus CHPC1005,Streptococcus phage CHPC1005
NC_070657,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus CHPC1027,Streptococcus phage CHPC1027
NC_070658,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus CHPC1029,Streptococcus phage CHPC1029
NC_070659,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus CHPC1033,Streptococcus phage CHPC1033
NC_070660,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus CHPC1036,Streptococcus phage CHPC1036
NC_070661,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus CHPC1041,Streptococcus phage CHPC1041
NC_070662,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus CHPC1045,Streptococcus phage CHPC1045
NC_070663,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus CHPC1046,Streptococcus phage CHPC1046
NC_070664,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus CHPC1062,Streptococcus phage CHPC1062
NC_070665,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus CHPC1067,Streptococcus phage CHPC1067
NC_070666,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus CHPC1091,Streptococcus phage CHPC1091
NC_070667,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus CHPC1148,Streptococcus phage CHPC1148
NC_070668,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus CHPC1156,Streptococcus phage CHPC1156
NC_070669,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus CHPC572,Streptococcus phage CHPC572
NC_070670,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus CHPC595,Streptococcus phage CHPC595
NC_070671,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus CHPC642,Streptococcus phage CHPC642
NC_070672,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus CHPC663,Streptococcus phage CHPC663
NC_070673,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus CHPC873,Streptococcus phage CHPC873
NC_070674,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus CHPC875,Streptococcus phage CHPC875
NC_070675,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus CHPC877,Streptococcus phage CHPC877
NC_070676,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus CHPC879,Streptococcus phage CHPC879
NC_070677,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus CHPC919,Streptococcus phage CHPC919
NC_070678,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus CHPC925,Streptococcus phage CHPC925
NC_070679,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus CHPC927,Streptococcus phage CHPC927
NC_070680,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus CHPC928,Streptococcus phage CHPC928
NC_070681,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus CHPC930,Streptococcus phage CHPC930
NC_070682,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus CHPC950,Streptococcus phage CHPC950
NC_070683,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus CHPC979,Streptococcus phage CHPC979
NC_070684,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus D1024,Streptococcus phage D1024
NC_070685,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus D1811,Streptococcus phage D1811
NC_070686,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus D4276,Streptococcus phage D4276
NC_070687,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus L5A1,Streptococcus phage L5A1
NC_070688,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus M19,Streptococcus phage M19
NC_070689,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus MM25,Streptococcus phage MM25
NC_070690,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus P0091,Streptococcus phage P0091
NC_070691,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus P3681,Streptococcus phage P3681
NC_070692,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus P3684,Streptococcus phage P3684
NC_070693,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus P5641,Streptococcus phage P5641
NC_070694,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus P5651,Streptococcus phage P5651
NC_070695,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus P7132,Streptococcus phage P7132
NC_070696,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus P7133,Streptococcus phage P7133
NC_070697,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus P7134,Streptococcus phage P7134
NC_070698,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus P7151,Streptococcus phage P7151
NC_070699,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus P7152,Streptococcus phage P7152
NC_070700,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus P7154,Streptococcus phage P7154
NC_070701,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus P7573,Streptococcus phage P7573
NC_070702,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus P7574,Streptococcus phage P7574
NC_070703,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus P7601,Streptococcus phage P7601
NC_070704,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus P7602,Streptococcus phage P7602
NC_070705,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus P7631,Streptococcus phage P7631
NC_070706,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus P7632,Streptococcus phage P7632
NC_070707,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus P7633,Streptococcus phage P7633
NC_070708,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus P9851,Streptococcus phage P9851
NC_070709,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus P9854,Streptococcus phage P9854
NC_070710,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus P9901,Streptococcus phage P9901
NC_070711,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus P9902,Streptococcus phage P9902
NC_070712,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus P9903,Streptococcus phage P9903
NC_070713,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus STP1,Streptococcus phage STP1
NC_070714,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus SW1,Streptococcus phage SW1
NC_070715,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus SW11,Streptococcus phage SW11
NC_070716,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus SW12,Streptococcus phage SW12
NC_070717,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus SW2,Streptococcus phage SW2
NC_070718,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus SW3,Streptococcus phage SW3
NC_070719,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus SW5,Streptococcus phage SW5
NC_070720,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus SW6,Streptococcus phage SW6
NC_070721,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus SW7,Streptococcus phage SW7
NC_070722,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus SW8,Streptococcus phage SW8
NC_070723,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus SWK3,Streptococcus phage SWK3
NC_070724,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus SWK6,Streptococcus phage SWK6
NC_070725,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus VA214,Streptococcus phage vB_SthS_VA214
NC_070726,Caudoviricetes,,Aliceevansviridae,,Moineauvirus,Moineauvirus VA460,Streptococcus phage vB_SthS_VA460
NC_070759,Caudoviricetes,,,,Yanchengvirus,Yanchengvirus pAEv1818,Aeromonas phage pAEv1818
NC_070760,Caudoviricetes,,,,Wollypogvirus,Wollypogvirus wollypog,Arthrobacter phage Wollypog
NC_070761,Caudoviricetes,,,,Gimaduovirus,Gimaduovirus GMA2,Gordonia phage GMA2
NC_070762,Caudoviricetes,,,,Sixamavirus,Sixamavirus sixama,Gordonia phage Sixama
NC_070763,Caudoviricetes,,,,Forzavirus,Forzavirus forza,Gordonia phage Forza
NC_070764,Caudoviricetes,,,,Godonkavirus,Godonkavirus phendrix,Gordonia phage Phendrix
NC_070765,Caudoviricetes,,,,Onyinyevirus,Onyinyevirus onyinye,Mycobacterium phage Onyinye
NC_070766,Caudoviricetes,,,,Adaiavirus,Adaiavirus adaia,Arthrobacter phage Adaia
NC_070767,Caudoviricetes,,,,Atraxavirus,Atraxavirus atraxa,Arthrobacter phage Atraxa
NC_070768,Caudoviricetes,,,,Kumottavirus,Kumottavirus kumotta,Arthrobacter phage Kumotta
NC_070769,Caudoviricetes,,,,Kumottavirus,Kumottavirus margaretkali,Arthrobacter phage MargaretKali
NC_070770,Caudoviricetes,,,,Sargevirus,Sargevirus sarge,Arthrobacter phage Sarge
NC_070771,Caudoviricetes,,,,Shoyavirus,Shoyavirus shoya,Arthrobacter phage Shoya
NC_070772,Caudoviricetes,,,,Seahorsevirus,Seahorsevirus seahorse,Vibrio phage Seahorse
NC_070773,Caudoviricetes,,,,Enfavirus,Enfavirus NF,Vibrio phage NF
NC_070774,Caudoviricetes,,,,Tieomvirus,Tieomvirus BT1011,Vibrio phage vB_VpP_BT-1011
NC_070775,Caudoviricetes,,,,Syrbvirus,Syrbvirus R1,Microbacterium phage vB_MoxS-R1
NC_070776,Caudoviricetes,Pantevenvirales,Straboviridae,Tevenvirinae,Kanagawavirus,Kanagawavirus threeohfive,Kosakonia phage 305
NC_070777,Caudoviricetes,Pantevenvirales,Straboviridae,Tevenvirinae,Kanagawavirus,Kanagawavirus eclm,Enterobacter phage vB_EhoM-IME523
NC_070778,Caudoviricetes,Pantevenvirales,Straboviridae,Tevenvirinae,Kanagawavirus,Kanagawavirus mime,Enterobacter phage vB_EclM_Q7622
NC_070779,Caudoviricetes,Pantevenvirales,Straboviridae,Tevenvirinae,Moonvirus,Moonvirus kayemsixteen,Salmonella phage KM16
NC_070780,Caudoviricetes,Pantevenvirales,Straboviridae,Tevenvirinae,Gaprivervirus,Gaprivervirus arezed,Escherichia virus vB_EcoM_RZ
NC_070781,Caudoviricetes,,Stanwilliamsviridae,Boydwoodruffvirinae,Tomasvirus,Tomasvirus tomas,Streptomyces phage Tomas
NC_070782,Caudoviricetes,,Stanwilliamsviridae,Boydwoodruffvirinae,Coruscantvirus,Coruscantvirus coruscant,Streptomyces phage Coruscant
NC_070783,Caudoviricetes,,Stanwilliamsviridae,Loccivirinae,Faustvirus,Faustvirus faust,Streptomyces phage Faust
NC_070784,Caudoviricetes,,Stanwilliamsviridae,Loccivirinae,Faustvirus,Faustvirus tunatartare,Streptomyces phage TunaTartare
NC_070785,Caudoviricetes,,Stanwilliamsviridae,Loccivirinae,Wakandavirus,Wakandavirus wakanda,Streptomyces phage Wakanda
NC_070786,Caudoviricetes,,Stanwilliamsviridae,Loccivirinae,Wakandavirus,Wakandavirus muntaha,Streptomyces phage Muntaha
NC_070787,Caudoviricetes,,,Nymbaxtervirinae,Nymphadoravirus,Nymphadoravirus bunnybear,Gordonia phage Bunnybear
NC_070788,Caudoviricetes,,,Nymbaxtervirinae,Nymphadoravirus,Nymphadoravirus madeline,Gordonia phage Madeline
NC_070789,Caudoviricetes,,,Nymbaxtervirinae,Nymphadoravirus,Nymphadoravirus thankyoujordi,Gordonia phage ThankyouJordi
NC_070790,Caudoviricetes,,,Nymbaxtervirinae,Nymphadoravirus,Nymphadoravirus bosnia,Gordonia phage Bosnia
NC_070791,Caudoviricetes,,,Nymbaxtervirinae,Nymphadoravirus,Nymphadoravirus herod,Gordonia phage Herod
NC_070792,Caudoviricetes,,,Nymbaxtervirinae,Nymphadoravirus,Nymphadoravirus agueybana,Gordonia phage Agueybana
NC_070793,Caudoviricetes,,,Nymbaxtervirinae,Nymphadoravirus,Nymphadoravirus polly,Gordonia phage Polly
NC_070794,Caudoviricetes,,,Nymbaxtervirinae,Nymphadoravirus,Nymphadoravirus maridalia,Gordonia phage Maridalia
NC_070795,Caudoviricetes,,,Nymbaxtervirinae,Nymphadoravirus,Nymphadoravirus boynamedsue,Gordonia phage BoyNamedSue
NC_070796,Caudoviricetes,,,Nymbaxtervirinae,Baxterfoxvirus,Baxterfoxvirus ohgeesy,Gordonia phage Ohgeesy
NC_070797,Caudoviricetes,,,,Attisvirus,Attisvirus vasanti,Gordonia phage Vasanti
NC_070798,Caudoviricetes,,,,Attisvirus,Attisvirus matteo,Gordonia phage Matteo
NC_070799,Caudoviricetes,,,,Attisvirus,Attisvirus pickett,Gordonia phage Pickett
NC_070800,Caudoviricetes,,,,Attisvirus,Attisvirus yeet412,Gordonia phage Yeet412
NC_070801,Caudoviricetes,,,,Attisvirus,Attisvirus lamberg,Gordonia phage Lamberg
NC_070802,Caudoviricetes,,,,Attisvirus,Attisvirus sahara,Gordonia phage Sahara
NC_070803,Caudoviricetes,,,,Attisvirus,Attisvirus bjanes7,Gordonia phage Bjanes7
NC_070804,Caudoviricetes,,,,Attisvirus,Attisvirus ebert,Gordonia phage Ebert
NC_070805,Caudoviricetes,,,,Powerballvirus,Powerballvirus powerball,Gordonia phage Powerball
NC_070806,Caudoviricetes,,,,Beenievirus,Beenievirus beenie,Gordonia phage Beenie
NC_070807,Caudoviricetes,,,,Beenievirus,Beenievirus sekhmet,Gordonia phage Sekhmet
NC_070808,Caudoviricetes,,,,Beenievirus,Beenievirus dolores,Gordonia phage Dolores
NC_070809,Caudoviricetes,,,,Beenievirus,Beenievirus dorito,Gordonia phage Dorito
NC_070810,Caudoviricetes,,,,Beenievirus,Beenievirus dobbyssock,Gordonia phage DobbysSock
NC_070811,Caudoviricetes,,,,Beenievirus,Beenievirus clark,Gordonia phage Clark
NC_070812,Caudoviricetes,,,,Beenievirus,Beenievirus samman98,Gordonia phage Samman98
NC_070813,Caudoviricetes,,,,Beenievirus,Beenievirus michaelscott,Gordonia phage MichaelScott
NC_070814,Caudoviricetes,,,,Beenievirus,Beenievirus easley,Gordonia phage Easley
NC_070815,Caudoviricetes,,,,Beenievirus,Beenievirus suerte,Gordonia phage Suerte
NC_070816,Caudoviricetes,,,,Denisevirus,Denisevirus denise,Gordonia phage Denise
NC_070817,Caudoviricetes,,,,Howevirus,Howevirus howe,Gordonia phage Howe
NC_070818,Caudoviricetes,,,,Howevirus,Howevirus mcklovin,Gordonia phage Mcklovin
