METADATA

SEPARATOR COMMA
FIELD_LABELS,Order,Family,Subfamily,Genus
NC_048096,Sarissavirales,Sarissaviridae,Poltergeistvirinae,Bridgettevirus
NC_048094,Sarissavirales,Sarissaviridae,Poltergeistvirinae,Bridgettevirus
NC_041964,Axehammervirales,Axehammerviridae,Awasisvirinae,Kochitakasuvirus
NC_019420,Axehammervirales,Axehammerviridae,Awasisvirinae,Kafunavirus
NC_024123,Axehammervirales,Axehammerviridae,Awasisvirinae,Kochitakasuvirus
NC_054961,Gatlingvirales,Gatlingviridae,Caleuchevirinae,Firingavirus
NC_022915,Gatlingvirales,Gatlingviridae,Caleuchevirinae,Firingavirus
NC_071016,Gatlingvirales,Gatlingviridae,Caleuchevirinae,Bocovirus
NC_031099,Dunevirales_1,Yataganviridae,Kerberosvirinae,Bowservirus
NC_030930,Dunevirales_1,Yataganviridae,Kerberosvirinae,Bowservirus
NC_031255,Dunevirales_1,Yataganviridae,Kerberosvirinae,Bowservirus
NC_070932,Tantovirales,Tantoviridae,Bergelmirvirinae,Roslyckyvirus
NC_070876,Tantovirales,Tantoviridae,Bergelmirvirinae,Roslyckyvirus
NC_070773,Bovirales,Boviridae,Indépendancevirinae,Feofaniavirus
NC_070772,Bovirales,Boviridae,Indépendancevirinae,Feofaniavirus
NC_048070,Madisavirales,Naginataviridae,Greipvirinae,Syrbvirus
NC_042139,Madisavirales,Naginataviridae,Greipvirinae,Syrbvirus
NC_049941,Ekuvirales,Ekuviridae,Epimetheusvirinae,Sawaravirus
NC_049942,Ekuvirales,Ekuviridae,Epimetheusvirinae,Marienburgvirus_2
NC_049944,Ekuvirales,Ekuviridae,Epimetheusvirinae,Pankowvirus
NC_049945,Ekuvirales,Ekuviridae,Epimetheusvirinae,Pankowvirus
NC_049943,Ekuvirales,Ekuviridae,Epimetheusvirinae,Pankowvirus
NC_004813,Ekuvirales,Ekuviridae,Epimetheusvirinae,Marienburgvirus_1
NC_011356,Ekuvirales,Ekuviridae,Epimetheusvirinae,Marienburgvirus_1
NC_011357,Ekuvirales,Ekuviridae,Epimetheusvirinae,Pankowvirus
NC_070807,Dunevirales_1,Bombardviridae,Ilmarëvirinae,Beenievirus_1
NC_070805,Dunevirales_1,Bombardviridae,Ilmarëvirinae,Beenievirus_3
NC_070817,Dunevirales_1,Bombardviridae,Ilmarëvirinae,Howevirus
NC_070808,Dunevirales_1,Bombardviridae,Ilmarëvirinae,Beenievirus_1
NC_070813,Dunevirales_1,Bombardviridae,Ilmarëvirinae,Beenievirus_1
NC_070812,Dunevirales_1,Bombardviridae,Ilmarëvirinae,Beenievirus_1
NC_070811,Dunevirales_1,Bombardviridae,Ilmarëvirinae,Beenievirus_1
NC_070818,Dunevirales_1,Bombardviridae,Ilmarëvirinae,Howevirus
NC_070810,Dunevirales_1,Bombardviridae,Ilmarëvirinae,Beenievirus_2
NC_070809,Dunevirales_1,Bombardviridae,Ilmarëvirinae,Beenievirus_2
NC_070815,Dunevirales_1,Bombardviridae,Ilmarëvirinae,Beenievirus_3
NC_070814,Dunevirales_1,Bombardviridae,Ilmarëvirinae,Beenievirus_3
NC_070806,Dunevirales_1,Bombardviridae,Ilmarëvirinae,Beenievirus_1
NC_041853,Verdandivirales_1,Qiangviridae,Iapetusvirinae,Fromanvirus_1
NC_002656,Verdandivirales_1,Qiangviridae,Iapetusvirinae,Fromanvirus_5
NC_023739,Verdandivirales_1,Qiangviridae,Iapetusvirinae,Fromanvirus_5
NC_009877,Verdandivirales_1,Qiangviridae,Iapetusvirinae,Fromanvirus_9
NC_009878,Verdandivirales_1,Qiangviridae,Iapetusvirinae,Fromanvirus_1
NC_023704,Verdandivirales_1,Qiangviridae,Iapetusvirinae,Fromanvirus_1
NC_023687,Verdandivirales_1,Qiangviridae,Iapetusvirinae,Fromanvirus_1
NC_042321,Verdandivirales_1,Qiangviridae,Iapetusvirinae,Fromanvirus_1
NC_023726,Verdandivirales_1,Qiangviridae,Iapetusvirinae,Fromanvirus_1
NC_042327,Verdandivirales_1,Qiangviridae,Iapetusvirinae,Fromanvirus_1
NC_011019,Verdandivirales_1,Qiangviridae,Iapetusvirinae,Fromanvirus_1
NC_023695,Verdandivirales_1,Qiangviridae,Iapetusvirinae,Fromanvirus_1
NC_042324,Verdandivirales_1,Qiangviridae,Iapetusvirinae,Fromanvirus_1
NC_041985,Verdandivirales_1,Qiangviridae,Iapetusvirinae,Fromanvirus_1
NC_023702,Verdandivirales_1,Qiangviridae,Iapetusvirinae,Fromanvirus_1
NC_011020,Verdandivirales_1,Qiangviridae,Iapetusvirinae,Fromanvirus_1
NC_011267,Verdandivirales_1,Qiangviridae,Iapetusvirinae,Fromanvirus_1
NC_023710,Verdandivirales_1,Qiangviridae,Iapetusvirinae,Fromanvirus_1
NC_023720,Verdandivirales_1,Qiangviridae,Iapetusvirinae,Fromanvirus_1
NC_041852,Verdandivirales_1,Qiangviridae,Iapetusvirinae,Fromanvirus_1
NC_023748,Verdandivirales_1,Qiangviridae,Iapetusvirinae,Fromanvirus_1
NC_042329,Verdandivirales_1,Qiangviridae,Iapetusvirinae,Fromanvirus_1
NC_042326,Verdandivirales_1,Qiangviridae,Iapetusvirinae,Fromanvirus_1
NC_011021,Verdandivirales_1,Qiangviridae,Iapetusvirinae,Fromanvirus_1
NC_042320,Verdandivirales_1,Qiangviridae,Iapetusvirinae,Fromanvirus_1
NC_020202,Shotelvirales,Shotelviridae,Rocinantevirinae,Casadabanvirus
NC_061435,Shotelvirales,Shotelviridae,Rocinantevirinae,Casadabanvirus
NC_061438,Shotelvirales,Shotelviridae,Rocinantevirinae,Casadabanvirus
NC_023700,Shotelvirales,Shotelviridae,Rocinantevirinae,Casadabanvirus
NC_024330,Shotelvirales,Shotelviridae,Rocinantevirinae,Casadabanvirus
NC_020203,Shotelvirales,Shotelviridae,Rocinantevirinae,Casadabanvirus
NC_009818,Shotelvirales,Shotelviridae,Rocinantevirinae,Casadabanvirus
NC_061436,Shotelvirales,Shotelviridae,Rocinantevirinae,Casadabanvirus
NC_061437,Shotelvirales,Shotelviridae,Rocinantevirinae,Casadabanvirus
NC_061434,Shotelvirales,Shotelviridae,Rocinantevirinae,Casadabanvirus
NC_018274,Shotelvirales,Shotelviridae,Rocinantevirinae,Casadabanvirus
NC_008717,Shotelvirales,Shotelviridae,Rocinantevirinae,Casadabanvirus
NC_011611,Shotelvirales,Shotelviridae,Rocinantevirinae,Casadabanvirus
NC_027298,Shotelvirales,Shotelviridae,Rocinantevirinae,Casadabanvirus
NC_020198,Shotelvirales,Shotelviridae,Rocinantevirinae,Casadabanvirus
NC_061433,Shotelvirales,Shotelviridae,Rocinantevirinae,Casadabanvirus
NC_026601,Shotelvirales,Shotelviridae,Rocinantevirinae,Casadabanvirus
NC_030908,Shotelvirales,Shotelviridae,Rocinantevirinae,Casadabanvirus
NC_061432,Shotelvirales,Shotelviridae,Rocinantevirinae,Casadabanvirus
NC_041851,Shotelvirales,Shotelviridae,Rocinantevirinae,Casadabanvirus
NC_005178,Shotelvirales,Shotelviridae,Rocinantevirinae,Casadabanvirus
NC_011613,Shotelvirales,Shotelviridae,Rocinantevirinae,Casadabanvirus
NC_024782,Shotelvirales,Shotelviridae,Rocinantevirinae,Casadabanvirus
NC_061439,Shotelvirales,Shotelviridae,Rocinantevirinae,Casadabanvirus
NC_042082,Katarvirales,Katarviridae,Rocinantevirinae,Delepquintavirus
NC_041877,Katarvirales,Katarviridae,Rocinantevirinae,Delepquintavirus
NC_019713,,Rocinanteviridae,Rocinantevirinae,Mardecavirus
NC_041910,,Rocinanteviridae,Rocinantevirinae,Mardecavirus
NC_049806,Xiphosvirales,Xiphosviridae,Blériotvirinae,Teubervirus
NC_049808,Xiphosvirales,Xiphosviridae,Blériotvirinae,Teubervirus
NC_012663,Xiphosvirales,Xiphosviridae,Blériotvirinae,Teubervirus
NC_049805,Xiphosvirales,Xiphosviridae,Blériotvirinae,Teubervirus
NC_049807,Xiphosvirales,Xiphosviridae,Blériotvirinae,Teubervirus
NC_041987,Saparovirales_1,Assegaiviridae,Carpovirinae,Kostyavirus
NC_041846,Saparovirales_1,Assegaiviridae,Carpovirinae,Kostyavirus
NC_011056,Saparovirales_1,Assegaiviridae,Carpovirinae,Kostyavirus
NC_028906,Saparovirales_1,Assegaiviridae,Carpovirinae,Kostyavirus
NC_004681,Saparovirales_1,Assegaiviridae,Carpovirinae,Kostyavirus
NC_008194,Saparovirales_1,Assegaiviridae,Carpovirinae,Kostyavirus
NC_042027,Saparovirales_1,Assegaiviridae,Carpovirinae,Kostyavirus
NC_011055,Saparovirales_1,Assegaiviridae,Carpovirinae,Kostyavirus
NC_041850,Saparovirales_1,Assegaiviridae,Carpovirinae,Kostyavirus
NC_004688,Saparovirales_1,Assegaiviridae,Prosperovirinae,Omegavirus_1
NC_042322,Saparovirales_1,Assegaiviridae,Prosperovirinae,Omegavirus_1
NC_023690,Saparovirales_1,Assegaiviridae,Prosperovirinae,Omegavirus_1
NC_023738,Saparovirales_1,Assegaiviridae,Prosperovirinae,Omegavirus_3
NC_041844,Saparovirales_1,Assegaiviridae,Prosperovirinae,Omegavirus_2
NC_042316,Saparovirales_1,Assegaiviridae,Prosperovirinae,Omegavirus_2
NC_026590,Saparovirales_1,Assegaiviridae,Yliriavirinae,Gaiavirus
NC_031260,Uluvirales,Uluviridae,Proteusvirinae,Efquatrovirus_2
NC_042022,Uluvirales,Uluviridae,Proteusvirinae,Efquatrovirus_1
NC_042127,Uluvirales,Uluviridae,Proteusvirinae,Efquatrovirus_1
NC_025465,Uluvirales,Uluviridae,Proteusvirinae,Efquatrovirus_1
NC_031051,Uluvirales,Uluviridae,Proteusvirinae,Efquatrovirus_2
NC_042021,Uluvirales,Uluviridae,Proteusvirinae,Efquatrovirus_1
NC_042101,Uluvirales,Uluviridae,Proteusvirinae,Efquatrovirus_1
NC_042134,Uluvirales,Uluviridae,Proteusvirinae,Efquatrovirus_1
NC_028990,Uluvirales,Uluviridae,Proteusvirinae,Efquatrovirus_1
NC_042125,Uluvirales,Uluviridae,Proteusvirinae,Efquatrovirus_1
NC_042126,Uluvirales,Uluviridae,Proteusvirinae,Efquatrovirus_1
NC_023551,Uluvirales,Uluviridae,Proteusvirinae,Efquatrovirus_2
NC_023595,Uluvirales,Uluviridae,Proteusvirinae,Efquatrovirus_3
NC_042023,Uluvirales,Uluviridae,Proteusvirinae,Efquatrovirus_1
NC_048840,Chakrivirales,Chakriviridae,Nereidvirinae,Lillamyvirus
NC_048839,Chakrivirales,Chakriviridae,Nereidvirinae,Lillamyvirus
NC_048836,Chakrivirales,Chakriviridae,Nereidvirinae,Lillamyvirus
NC_048835,Chakrivirales,Chakriviridae,Nereidvirinae,Lillamyvirus
NC_048842,Chakrivirales,Chakriviridae,Nereidvirinae,Lillamyvirus
NC_048833,Chakrivirales,Chakriviridae,Nereidvirinae,Lillamyvirus
NC_048844,Chakrivirales,Chakriviridae,Nereidvirinae,Muminvirus_1
NC_048841,Chakrivirales,Chakriviridae,Nereidvirinae,Muminvirus_1
NC_048832,Chakrivirales,Chakriviridae,Nereidvirinae,Muminvirus_1
NC_048837,Chakrivirales,Chakriviridae,Nereidvirinae,Muminvirus_1
NC_048838,Chakrivirales,Chakriviridae,Nereidvirinae,Muminvirus_1
NC_048831,Chakrivirales,Chakriviridae,Nereidvirinae,Muminvirus_2
NC_048843,Chakrivirales,Chakriviridae,Sumajmajtavirinae,Tantvirus
NC_042119,Hunga Mungavirales,Hunga Mungaviridae,Weywotvirinae,Kojivirus
NC_042118,Hunga Mungavirales,Hunga Mungaviridae,Weywotvirinae,Kojivirus
NC_048144,Hunga Mungavirales,Hunga Mungaviridae,Weywotvirinae,Ilzatvirus
NC_049929,Hunga Mungavirales,Hunga Mungaviridae,Weywotvirinae,Ilzatvirus
NC_042117,Hunga Mungavirales,Hunga Mungaviridae,Weywotvirinae,Kojivirus
NC_049928,Hunga Mungavirales,Hunga Mungaviridae,Weywotvirinae,Ilzatvirus
NC_049927,Hunga Mungavirales,Hunga Mungaviridae,Weywotvirinae,Ilzatvirus
NC_042109,Hunga Mungavirales,Hunga Mungaviridae,Weywotvirinae,Elerivirus
NC_042111,Hunga Mungavirales,Hunga Mungaviridae,Weywotvirinae,Ilzatvirus
NC_042110,Hunga Mungavirales,Hunga Mungaviridae,Weywotvirinae,Ilzatvirus
NC_048038,Hunga Mungavirales,Hunga Mungaviridae,Weywotvirinae,Neferthenavirus
NC_047851,Hunga Mungavirales,Hunga Mungaviridae,Kua'kuavirinae,Luckybarnesvirus
NC_047792,Sagarisvirales,Sagarisviridae,Siarnaqvirinae,Austintatiousvirus
NC_047793,Sagarisvirales,Sagarisviridae,Siarnaqvirinae,Austintatiousvirus
NC_048153,Sagarisvirales,Sagarisviridae,Siarnaqvirinae,Austintatiousvirus
NC_048072,Sagarisvirales,Sagarisviridae,Siarnaqvirinae,Raleighvirus
NC_047795,Sagarisvirales,Sagarisviridae,Siarnaqvirinae,Raleighvirus
NC_047794,Sagarisvirales,Sagarisviridae,Siarnaqvirinae,Raleighvirus
NC_028958,Sagarisvirales,Sagarisviridae,Guaranivirinae,Leicestervirus
NC_028905,Sagarisvirales,Sagarisviridae,Guaranivirinae,Leicestervirus
NC_015568,Sagarisvirales,Sagarisviridae,Guaranivirinae,Leicestervirus
NC_048022,Sagarisvirales,Sagarisviridae,Guaranivirinae,Lentavirus
NC_048735,Jittevirales,Jitteviridae,Yvagavirinae,Elmenteitavirus
NC_009804,Jittevirales,Jitteviridae,Yvagavirinae,Oshimavirus
NC_041879,Jittevirales,Jitteviridae,Yvagavirinae,Elmenteitavirus
NC_009803,Jittevirales,Jitteviridae,Yvagavirinae,Oshimavirus
NC_055031,Jittevirales,Jitteviridae,Anankevirinae,Halcyonevirus_1
NC_055030,Jittevirales,Jitteviridae,Anankevirinae,Halcyonevirus_1
NC_028930,Jittevirales,Jitteviridae,Anankevirinae,Halcyonevirus_2
NC_055029,Jittevirales,Jitteviridae,Anankevirinae,Halcyonevirus_1
NC_055028,Jittevirales,Jitteviridae,Anankevirinae,Halcyonevirus_1
NC_055754,Dunevirales_1,Tekkoviridae,Galateavirinae,Jujuvirus_1
NC_055745,Dunevirales_1,Tekkoviridae,Galateavirinae,Jujuvirus_2
NC_055792,Dunevirales_1,Tekkoviridae,Galateavirinae,Jujuvirus_2
NC_055865,Dunevirales_1,Tekkoviridae,Galateavirinae,Jujuvirus_2
NC_055912,Dunevirales_1,Tekkoviridae,Galateavirinae,Jujuvirus_1
NC_055811,Dunevirales_1,Tekkoviridae,Galateavirinae,Jujuvirus_1
NC_053173,Dunevirales_1,Tekkoviridae,Galateavirinae,Fairfaxidumvirus
NC_048185,Dunevirales_1,Tekkoviridae,Galateavirinae,Fairfaxidumvirus
NC_053174,Dunevirales_1,Tekkoviridae,Galateavirinae,Fairfaxidumvirus
NC_049810,Mizrakvirales,Mizrakviridae,Albiorixvirinae,Vedamuthuvirus_1
NC_049809,Mizrakvirales,Mizrakviridae,Albiorixvirinae,Vedamuthuvirus_2
NC_021861,Mizrakvirales,Mizrakviridae,Albiorixvirinae,Vedamuthuvirus_1
NC_049811,Mizrakvirales,Mizrakviridae,Albiorixvirinae,Vedamuthuvirus_1
NC_049812,Mizrakvirales,Mizrakviridae,Albiorixvirinae,Vedamuthuvirus_1
NC_013643,Mizrakvirales,Mizrakviridae,Suttungrvirinae,Phifelvirus
NC_013646,Mizrakvirales,Mizrakviridae,Suttungrvirinae,Phifelvirus
NC_013648,Mizrakvirales,Mizrakviridae,Suttungrvirinae,Phifelvirus
NC_022762,Doryvirales,Doryviridae,Saffarvirinae,Cequinquevirus
NC_025415,Doryvirales,Doryviridae,Saffarvirinae,Cequinquevirus
NC_019449,Doryvirales,Doryviridae,Saffarvirinae,Cequinquevirus
NC_019486,Doryvirales,Doryviridae,Saffarvirinae,Lafunavirus
NC_025421,Doryvirales,Doryviridae,Saffarvirinae,Cequinquevirus
NC_022989,Doryvirales,Doryviridae,Saffarvirinae,Cequinquevirus
NC_025420,Doryvirales,Doryviridae,Saffarvirinae,Cequinquevirus
NC_048848,Doryvirales,Doryviridae,Saffarvirinae,Arawnvirus
NC_049478,Krisvirales,Krisviridae,Erinomevirinae,Jacevirus
NC_048152,Krisvirales,Krisviridae,Erinomevirinae,Jacevirus
NC_031254,Krisvirales,Krisviridae,Staburagsvirinae,Kelleziovirus
NC_031231,Krisvirales,Krisviridae,Staburagsvirinae,Kelleziovirus
NC_047974,Krisvirales,Krisviridae,Nusakanvirinae,Jacevirus
NC_031253,Krisvirales,Krisviridae,Ersavirinae,Bippervirus
NC_054393,Krisvirales,Krisviridae,Ersavirinae,Bippervirus
NC_048791,Nagamakivirales,Nagamakiviridae,Aegaeonvirinae,Samwavirus
NC_048787,Nagamakivirales,Nagamakiviridae,Aegaeonvirinae,Samwavirus
NC_048780,Nagamakivirales,Nagamakiviridae,Aegaeonvirinae,Samwavirus
NC_048789,Nagamakivirales,Nagamakiviridae,Aegaeonvirinae,Samwavirus
NC_048069,Nagamakivirales,Nagamakiviridae,Aegaeonvirinae,Samwavirus
NC_048187,Mancatchervirales,Mancatcherviridae,Earhartvirinae,Barbavirus
NC_048189,Mancatchervirales,Mancatcherviridae,Earhartvirinae,Barbavirus
NC_048190,Mancatchervirales,Mancatcherviridae,Earhartvirinae,Barbavirus
NC_048191,Mancatchervirales,Mancatcherviridae,Earhartvirinae,Barbavirus
NC_048188,Mancatchervirales,Mancatcherviridae,Earhartvirinae,Barbavirus
NC_055034,Shuang Gouvirales,Shuang Gouviridae,Bocaprinsvirinae,Laroyevirus
NC_047756,Shuang Gouvirales,Shuang Gouviridae,Bocaprinsvirinae,Sansavirus
NC_055033,Shuang Gouvirales,Shuang Gouviridae,Bocaprinsvirinae,Laroyevirus
NC_055032,Shuang Gouvirales,Shuang Gouviridae,Bocaprinsvirinae,Laroyevirus
NC_041947,Shuang Gouvirales,Shuang Gouviridae,Bocaprinsvirinae,Laroyevirus
NC_047902,Trisulavirales,Trisulaviridae,Angrbodavirinae,Cbastvirus
NC_048166,Trisulavirales,Trisulaviridae,Angrbodavirinae,Cbastvirus
NC_047757,Trisulavirales,Trisulaviridae,Riosarvirinae,Cbastvirus
NC_020842,Trisulavirales,Trisulaviridae,Samagiyavirinae,Cbastvirus
NC_041976,Retiariusvirales,Retiariusviridae,Telestovirinae,Jimmervirus
NC_028969,Retiariusvirales,Retiariusviridae,Telestovirinae,Jimmervirus
NC_029029,Retiariusvirales,Retiariusviridae,Telestovirinae,Abouovirus
NC_022980,Retiariusvirales,Retiariusviridae,Telestovirinae,Abouovirus
NC_048769,Patavirales,Pataviridae,Ymirvirinae,Plateaulakevirus_1
NC_048772,Patavirales,Pataviridae,Ymirvirinae,Plateaulakevirus_2
NC_048770,Patavirales,Pataviridae,Ymirvirinae,Plateaulakevirus_1
NC_048771,Patavirales,Pataviridae,Ymirvirinae,Plateaulakevirus_1
NC_023712,Koravirales,Koraviridae,Arkasvirinae,Corndogvirus
NC_055759,Koravirales,Koraviridae,Arkasvirinae,Corndogvirus
NC_004685,Koravirales,Koraviridae,Arkasvirinae,Corndogvirus
NC_022057,Koravirales,Koraviridae,Arkasvirinae,Corndogvirus
NC_048757,Methanobavirales_1,Yumiviridae,Tarqeqvirinae,Ravarandavirus_1
NC_048637,Methanobavirales_1,Yumiviridae,Tarqeqvirinae,Ravarandavirus_2
NC_048756,Methanobavirales_1,Yumiviridae,Tarqeqvirinae,Ravarandavirus_1
NC_019512,Tetsubovirales,Tetsuboviridae,Narvivirinae,Schmidvirus_2
NC_019928,Tetsubovirales,Tetsuboviridae,Narvivirinae,Schmidvirus_1
NC_019931,Tetsubovirales,Tetsuboviridae,Narvivirinae,Schmidvirus_1
NC_028945,Pantevenvirales,KauSinKeviridae,Taphaovirinae,Emdodecavirus
NC_041929,Pantevenvirales,KauSinKeviridae,Taphaovirinae,Emdodecavirus
NC_027204,Pantevenvirales,KauSinKeviridae,Taphaovirinae,Emdodecavirus
NC_048106,Tabarzinvirales,Tabarzinviridae,Melquíadesvirinae,Aurunvirus
NC_019516,Tabarzinvirales,Tabarzinviridae,Melquíadesvirinae,Aurunvirus
NC_055915,Tabarzinvirales,Tabarzinviridae,Melquíadesvirinae,Aurunvirus
NC_047909,Dahvirales,Dahviridae,Velesvirinae,Anamdongvirus
NC_027990,Dahvirales,Dahviridae,Velesvirinae,Anamdongvirus
NC_047983,Dahvirales,Dahviridae,Velesvirinae,Anamdongvirus
NC_054727,Amentumvirales,Amentumviridae,Qorathvirinae,Phrappuccinovirus
NC_031914,Crassvirales,Fipunaviridae,Mintomevirinae,Fipvunavirus
NC_041872,Crassvirales,Fipunaviridae,Mintomevirinae,Fipvunavirus
NC_028924,Assiduvirales,Shinaiviridae,Togevirinae,Incheonvirus
NC_028763,Assiduvirales,Shinaiviridae,Togevirinae,Incheonvirus
NC_023582,Tambovirales,Tamboviridae,Harriotvirinae,Sextaecvirus
NC_024355,Tambovirales,Tamboviridae,Harriotvirinae,Sextaecvirus
NC_020883,Tjotjovirales,Tjotjoviridae,Branvirinae,Saundersvirus
NC_041918,Tjotjovirales,Tjotjoviridae,Branvirinae,Saundersvirus
NC_024138,Saparovirales_1,Jambokviridae,Hypatiavirinae,Marvinvirus
NC_042032,Saparovirales_1,Jambokviridae,Hypatiavirinae,Marvinvirus
NC_048027,Saparovirales_1,Kalashnikovviridae,Peitrussvirinae,Ronaldovirus
NC_048028,Saparovirales_1,Kalashnikovviridae,Peitrussvirinae,Ronaldovirus
NC_041884,Pantevenvirales,Arquusviridae,Göktürkvirinae,Metrivirus
NC_008364,Boomerangvirales,Boomerangviridae,Guataubávirinae,Questintvirus
NC_023744,Gauntletvirales,Gauntletviridae,Virexvirinae,Hnatkovirus
NC_041942,Magrovirales_1,Catapultviridae,Umbrielvirinae,Korravirus_1
NC_041941,Magrovirales_1,Catapultviridae,Umbrielvirinae,Korravirus_2
NC_054420,Magrovirales_1,Catapultviridae,Umbrielvirinae,Korravirus_1
NC_054427,Magrovirales_1,Catapultviridae,Umbrielvirinae,Korravirus_1
NC_054426,Magrovirales_1,Catapultviridae,Umbrielvirinae,Korravirus_1
NC_054429,Magrovirales_1,Catapultviridae,Umbrielvirinae,Korravirus_1
NC_054419,Magrovirales_1,Catapultviridae,Umbrielvirinae,Korravirus_1
NC_054423,Magrovirales_1,Catapultviridae,Umbrielvirinae,Korravirus_1
NC_054422,Magrovirales_1,Catapultviridae,Umbrielvirinae,Korravirus_1
NC_041939,Magrovirales_1,Catapultviridae,Umbrielvirinae,Korravirus_1
NC_041940,Magrovirales_1,Catapultviridae,Umbrielvirinae,Korravirus_1
NC_054425,Magrovirales_1,Catapultviridae,Umbrielvirinae,Korravirus_1
NC_054430,Magrovirales_1,Catapultviridae,Umbrielvirinae,Korravirus_1
NC_054418,Magrovirales_1,Catapultviridae,Umbrielvirinae,Korravirus_1
NC_041938,Magrovirales_1,Catapultviridae,Umbrielvirinae,Korravirus_1
NC_041944,Magrovirales_1,Catapultviridae,Umbrielvirinae,Korravirus_1
NC_041946,Magrovirales_1,Catapultviridae,Umbrielvirinae,Korravirus_1
NC_054428,Magrovirales_1,Catapultviridae,Umbrielvirinae,Korravirus_2
NC_041945,Magrovirales_1,Catapultviridae,Umbrielvirinae,Korravirus_2
NC_054421,Magrovirales_1,Catapultviridae,Umbrielvirinae,Korravirus_1
NC_054424,Magrovirales_1,Catapultviridae,Umbrielvirinae,Korravirus_1
NC_041943,Magrovirales_1,Catapultviridae,Umbrielvirinae,Korravirus_1
NC_031028,Magrovirales_1,Catapultviridae,Logevirinae,Archimedesvirus
NC_054392,Magrovirales_1,Catapultviridae,Logevirinae,Archimedesvirus
NC_021865,Chakramvirales,Chakramviridae,Tethysvirinae,Fernvirus_3
