genome_accn,genome_name,genome_length,total_proteins,taxonomy_string
NC_001423,"Bacteriophage PZA (from B.subtilis), complete genome",19366,27,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Salasmaviridae; Picovirinae; Salasvirus; Salasvirus PZA
NC_001604,"Enterobacteria phage T7, complete genome",39937,60,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Studiervirinae; Teseptimavirus; Teseptimavirus T7
NC_001629,"Lactococcus phage bIL67, complete genome",22195,37,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Ceduovirus; Ceduovirus bIL67
NC_001697,"Haemophilus phage HP1 strain HP1c1, complete genome",32355,41,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Peduoviridae; Hpunavirus; Hpunavirus HP1
NC_001706,"Lactobacillus phage c2, complete genome",22172,39,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Ceduovirus; Ceduovirus c2
NC_001825,"Streptococcus phage Cp-1, complete genome",19343,25,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Salasmaviridae; Cepunavirus; Cepunavirus Cp1
NC_001835,"Lactococcus phage sk1, complete genome",28451,56,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Skunavirus; Skunavirus sk1
NC_001884,"Bacillus phage SPBc2, complete genome",134416,185,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Spbetavirus; Spbetavirus SPbeta
NC_001895,"Enterobacteria phage P2, complete genome",33593,43,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Peduoviridae; Peduovirus; Peduovirus P2
NC_001900,"Mycobacterium virus D29, complete genome",49127,77,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Fromanvirus; Fromanvirus D29
NC_001901,"Bacteriophage N15, complete genome",46375,60,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Ravinvirus; Ravinvirus N15
NC_001902,"Methanobacterium phage psiM2, complete genome",26111,32,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Methanobavirales; Leisingerviridae; Psimunavirus; Psimunavirus psiM2
NC_001909,"Lactococcus phage bIL170, complete genome",31754,64,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Skunavirus; Skunavirus bIL170
NC_001978,Bacteriophage phi-C31 complete genome,41491,53,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Lomovskayavirus
NC_002072,"Streptococcus phage DT1, complete genome",34815,45,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Aliceevansviridae; Moineauvirus; Moineauvirus DT1
NC_002166,"Bacteriophage HK022, complete genome",40751,35,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Hendrixvirinae; Shamshuipovirus; Shamshuipovirus HK022
NC_002167,"Enterobacteria phage HK97, complete genome",39732,61,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Hendrixvirinae; Byrnievirus; Byrnievirus HK97
NC_002185,"Streptococcus phage 7201, complete genome",35466,46,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Aliceevansviridae; Moineauvirus; Moineauvirus mv7201
NC_002214,"Streptococcus phage Sfi11, complete genome",39807,51,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Aliceevansviridae; Brussowvirus; Brussowvirus Sfi11
NC_002321,"Staphylococcus phage PVL proviral DNA, complete sequence",41401,62,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Bronfenbrennervirinae; Peeveelvirus; Peeveelvirus PVL
NC_002371,"Salmonella phage P22, complete genome",41724,72,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Lederbergvirus; Lederbergvirus P22
NC_002484,"Bacteriophage D3, complete genome",56426,99,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Detrevirus; Detrevirus D3
NC_002486,"Staphylococcus prophage phiPV83, complete genome",45636,65,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Bronfenbrennervirinae; Peeveelvirus; Peeveelvirus PV83
NC_002515,"Mycoplasma phage P1, complete genome",11660,11,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Delislevirus; Delislevirus P1
NC_002519,Roseophage SIO1 complete genome,39898,32,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Zobellviridae; Cobavirinae; Siovirus; Siovirus americense
NC_002649,"Bacillus phage GA-1, complete genome",21129,35,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Salasmaviridae; Tatarstanvirinae; Gaunavirus; Gaunavirus GA1
NC_002656,"Mycobacterium phage Bxb1, complete genome",50550,86,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Fromanvirus; Fromanvirus Bxb1
NC_002661,"Staphylococcus phage phiSLT, complete genome",42942,61,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Triavirus; Triavirus SLT
NC_002730,"Enterobacteria phage HK620, complete genome",38297,58,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Lederbergvirus; Lederbergvirus HK620
NC_003050,Streptococcus pneumoniae bacteriophage MM1 complete genome,40248,53,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Paclarkvirus; Paclarkvirus MM1
NC_003085,"Myxococcus phage Mx8, complete genome",49534,86,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Myxoctovirus; Myxoctovirus Mx8
NC_003278,"Pseudomonas phage phiCTX DNA, complete genome",35580,47,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Peduoviridae; Citexvirus; Citexvirus phiCTX
NC_003288,"Staphylococcus phage phiETA DNA, complete genome",43081,66,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Azeredovirinae; Phietavirus; Phietavirus ETA
NC_003291,Bacteriophage PSA complete genome,37618,59,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Psavirus; Psavirus PSA
NC_003298,"Enterobacteria phage T3, complete genome",38208,55,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Studiervirinae; Teetrevirus; Teetrevirus T3
NC_003309,"Burkholderia phage phiE125, complete genome",53373,71,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Stanholtvirus; Stanholtvirus E125
NC_003313,"Vibrio phage K139, complete genome",33106,44,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Peduoviridae; Longwoodvirus; Longwoodvirus K139
NC_003315,"Haemophilus phage HP2, complete genome",31508,37,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Peduoviridae; Hpunavirus; Hpunavirus HP2
NC_003387,"Mycobacterium phage TM4, complete genome",52797,89,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Weiservirinae; Timquatrovirus; Mycobacterium virus TM4
NC_003390,"Synechococcus phage P60, complete genome",46675,55,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Tiilvirus; Tiilvirus P60
NC_003907,"Vibrio phage VpV262, complete genome",46012,67,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Zobellviridae; Vipivirus; Vipivirus canadense
NC_004112,"Lactobacillus phage A2, complete genome",43411,61,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Ashduovirus; Ashduovirus A2
NC_004165,"Bacillus phage B103, complete genome",18630,17,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Salasmaviridae; Picovirinae; Beecentumtrevirus; Beecentumtrevirus B103
NC_004303,"Streptococcus phage 01205, complete genome",43075,57,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Aliceevansviridae; Brussowvirus; Brussowvirus bvO1205
NC_004333,"Burkholderia phage Bcep781, complete genome",48247,66,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Naesvirus; Naesvirus bcep781
NC_004348,"Enterobacteria phage ST64T, complete genome",40679,65,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Lederbergvirus; Lederbergvirus ST64T
NC_004456,"Vibrio phage VHML, complete genome",43198,57,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Vhmlvirus; Vhmlvirus VHML
NC_004466,"Pseudomonas aeruginosa phage PaP3, complete genome",45503,72,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Bruynoghevirus; Bruynoghevirus PaP3
NC_004615,"Staphylococcus phage phi 11, complete genome",43604,53,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Azeredovirinae; Dubowvirus; Dubowvirus dv11
NC_004616,"Staphylococcus prophage phi 12, complete genome",44970,49,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Triavirus; Triavirus tv12
NC_004617,"Staphylococcus prophage phi 13, complete genome",42722,49,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Bronfenbrennervirinae; Peeveelvirus; Peeveelvirus pv13
NC_004629,"Pseudomonas phage phiKZ, complete genome",280334,369,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Phikzvirus; Phikzvirus phiKZ
NC_004664,"Streptomyces phage phiBT1, complete genome",41831,55,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Lomovskayavirus; Lomovskayavirus BT1
NC_004665,"Pseudomonas phage gh-1, complete genome",37359,42,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Studiervirinae; Ghunavirus; Ghunavirus gh1
NC_004678,"Staphylococcus phage phi44AHJD, complete genome",16784,21,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Rountreeviridae; Rakietenvirinae; Rosenblumvirus; Rosenblumvirus rv44AHJD
NC_004680,"Mycobacterium phage Che8, complete genome",59472,115,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Gracegardnervirinae; Cheoctovirus; Mycobacterium virus Che8
NC_004681,"Mycobacterium phage Cjw1, complete genome",75931,141,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Kostyavirus; Kostyavirus CJW1
NC_004682,"Mycobacterium virus Bxz2, complete genome",50913,86,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Microwolfvirus; Microwolfvirus Bxz2
NC_004683,"Mycobacterium phage Che9c, complete genome",57050,84,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Chenonavirus; Chenonavirus Che9c
NC_004684,"Mycobacterium phage Rosebush, complete genome",67480,90,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Bclasvirinae; Rosebushvirus; Rosebushvirus rosebush
NC_004685,"Mycobacterium phage Corndog, complete genome",69777,122,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Corndogvirus; Corndogvirus corndog
NC_004686,"Mycobacteriophage Che9d, complete genome",56275,111,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Gracegardnervirinae; Avanivirus; Avanivirus Che9d
NC_004687,"Mycobacterium phage Bxz1, complete genome",156102,225,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Ceeclamvirinae; Bixzunavirus; Bixzunavirus Bxz1
NC_004688,"Mycobacterium phage Omega, complete genome",110865,237,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Omegavirus; Omegavirus omega
NC_004689,"Mycobacterium phage Barnyard, complete genome",70797,109,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Barnyardvirus; Barnyardvirus barnyard
NC_004745,"Yersinia phage L-413C, complete genome",30728,40,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Peduoviridae; Peduovirus; Peduovirus L413C
NC_004775,"Enterobacteria phage epsilon15, complete genome",39672,51,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Uetakevirus; Uetakevirus epsilon15
NC_004813,"Enterobacteria phage BP-4795, complete genome",57930,85,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Marienburgvirus; Marienburgvirus BP4795
NC_004814,"Streptococcus phage C1, complete genome",16687,20,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Rountreeviridae; Fischettivirus; Fischettivirus C1
NC_004831,"Enterobacteria phage SP6, complete genome",43769,52,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Molineuxvirinae; Zindervirus; Zindervirus SP6
NC_004902,"Xanthomonas phage Xp10, complete genome",44373,60,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Xipdecavirus; Xipdecavirus Xp10
NC_004914,"Stx2 converting phage II DNA, complete genome",62706,170,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Sepvirinae; Traversvirus; Traversvirus II
NC_004927,"Halophage HF1, complete genome",75898,125,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Thumleimavirales; Hafunaviridae; Haloferacalesvirus; Haloferacalesvirus HF1
NC_004928,"Enterobacteria phage RB69, complete genome",167560,273,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Straboviridae; Tevenvirinae; Mosigvirus; Mosigvirus RB69
NC_005045,"Pseudomonas phage phiKMV, complete genome",42519,49,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Krylovirinae; Phikmvvirus; Phikmvvirus phiKMV
NC_005056,"Escherichia phage Wphi, complete genome",32684,44,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Peduoviridae; Peduovirus; Peduovirus Wphi
NC_005066,"Enterobacteria phage RB49, complete genome",164018,279,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Straboviridae; Krischvirus; Krischvirus RB49
NC_005083,"Vibrio phage KVP40, complete genome",244834,381,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Straboviridae; Schizotequatrovirus; Schizotequatrovirus KVP40
NC_005091,"Burkholderia phage BcepNazgul, complete genome",57455,73,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Casjensviridae; Nazgulvirus; Burkholderia virus BcepNazgul
NC_005135,"Aeromonas phage 44RR2.8t, complete genome",173591,252,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Straboviridae; Biquartavirus; Biquartavirus 44RR2
NC_005178,"Bacteriophage D3112, complete genome",37611,55,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Casadabanvirus; Casadabanvirus D3112
NC_005259,"Mycobacterium phage PG1, complete genome",68999,100,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Bclasvirinae; Pegunavirus; Pegunavirus Pg1
NC_005260,"Aeromonas phage Aeh1, complete genome",233234,352,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Straboviridae; Cinqassovirus; Cinqassovirus aeh1
NC_005262,"Burkholderia cepacia phage Bcep22, complete genome",63882,77,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Lessievirus; Lessievirus bcep22
NC_005263,"Burkholderia phage Bcep1, complete genome",48177,71,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Naesvirus; Naesvirus bcep1
NC_005282,"Enterobacteria phage Felix 01, complete genome",86155,127,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Ounavirinae; Felixounavirus; Felixounavirus felixO1
NC_005284,"Bacteriophage phi1026b, complete genome",54865,83,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Stanholtvirus; Stanholtvirus sv1026b
NC_005340,"Enterobacteria phage PsP3, complete genome",30636,42,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Peduoviridae; Eganvirus; Eganvirus PsP3
NC_005342,"Burkholderia phage Bcep43, complete genome",48024,65,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Naesvirus; Naesvirus bcep43
NC_005344,"Enterobacteria phage Sf6, complete genome",39043,66,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Lederbergvirus; Lederbergvirus Sf6
NC_005345,"Streptomyces phage VWB, complete genome",49220,61,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Veewebvirus; Veewebvirus vwb
NC_005356,"Staphylococcus phage 77, complete genome",41708,69,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Bronfenbrennervirinae; Biseptimavirus; Biseptimavirus bv77
NC_005357,"Bordetella phage BPP-1, complete genome",42493,49,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Rauchvirus; Rauchvirus BPP1
NC_005833,"Escherichia phage T1, complete genome",48836,78,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Drexlerviridae; Tunavirinae; Tunavirus; Tunavirus T1
NC_005856,"Enterobacteria phage P1, complete genome",94800,110,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Punavirus; Punavirus P1
NC_005859,"Enterobacteria phage T5, complete genome",121750,162,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Demerecviridae; Markadamsvirinae; Tequintavirus; Tequintavirus T5
NC_005879,"Vibrio phage VP2, complete genome",39853,47,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Enhodamvirus; Enhodamvirus VP2
NC_005880,"Staphylococcus phage K, complete genome",148317,233,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Herelleviridae; Twortvirinae; Kayvirus; Kayvirus kay
NC_005882,"Burkholderia cenocepacia phage BcepMu, complete genome",36748,53,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Bcepmuvirus; Bcepmuvirus bcepMu
NC_005887,"Burkholderia phage BcepC6B, complete genome",42415,46,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Ryyoungvirus; Ryyoungvirus bcepC6B
NC_005891,"Vibrio phage VP5, complete genome",39786,48,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Enhodamvirus; Enhodamvirus VP5
NC_005893,"Lactobacillus phage phiAT3, complete genome",39166,55,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Fattrevirus; Fattrevirus AT3
NC_006548,"Pseudomonas phage B3, complete genome",38439,59,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Beetrevirus; Beetrevirus B3
NC_006552,"Pseudomonas phage F116, complete genome",65195,70,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Hollowayvirus; Hollowayvirus F116
NC_006557,"Bacillus phage BCJA1c, complete genome",41092,58,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Jarrellvirus; Jarrellvirus BCAJ1
NC_006565,"Lactobacillus phage LP65, complete genome",131522,165,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Herelleviridae; Salchichonvirus; Salchichonvirus LP65
NC_006820,"Synechococcus phage S-PM2, complete genome",196280,244,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Kyanoviridae; Nodensvirus; Nodensvirus spm2
NC_006882,"Prochlorococcus phage P-SSP7, complete genome",45176,58,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Autographiviridae; Tiamatvirus; Tiamatvirus PSSP7
NC_006883,"Prochlorococcus phage P-SSM2, complete genome",252401,334,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Kyanoviridae; Salacisavirus; Salacisavirus pssm2
NC_006884,"Prochlorococcus phage P-SSM4, complete genome",178249,221,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Kyanoviridae; Ronodorvirus; Ronodorvirus ssm4
NC_006936,"Lactobacillus phage phiJL-1, complete genome",36674,46,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Coetzeevirus; Coetzeevirus JL1
NC_006938,"Alphaproteobacteria phage PhiJL001, complete genome",63649,90,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Mesyanzhinovviridae; Keylargovirus; Keylargovirus JL001
NC_006940,"Salmonella phage SS3e, complete genome",40793,58,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Guernseyvirinae; Jerseyvirus; Jerseyvirus SS3e
NC_007019,"Streptococcus phage 2972, complete genome",34704,44,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Aliceevansviridae; Brussowvirus; Brussowvirus bv2972
NC_007021,"Staphylococcus phage Twort, complete genome",130706,195,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Herelleviridae; Twortvirinae; Twortvirus; Twortvirus twort
NC_007023,"Escherichia phage RB43, complete genome",180500,292,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Straboviridae; Pseudotevenvirus; Pseudotevenvirus RB43
NC_007024,"Xanthomonas phage Xp15, complete genome",55770,84,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Alachuavirus; Alachuavirus Xp15
NC_007046,"Staphylococcus phage 66, complete genome",18199,27,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Rountreeviridae; Rakietenvirinae; Rosenblumvirus; Rosenblumvirus rv66
NC_007047,"Staphylococcus phage 187, complete genome",39620,77,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Azeredovirinae; Phietavirus; Phietavirus pv187
NC_007048,"Staphylococcus phage 69, complete genome",42732,69,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Azeredovirinae; Dubowvirus; Dubowvirus dv69
NC_007049,"Staphylococcus phage 53, complete genome",43883,74,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Azeredovirinae; Dubowvirus; Dubowvirus dv53
NC_007050,"Staphylococcus phage 85, complete genome",44283,71,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Azeredovirinae; Dubowvirus; Dubowvirus dv85
NC_007051,"Staphylococcus phage 2638A, complete genome",41318,57,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Fibralongavirus; Fibralongavirus fv2638A
NC_007052,"Staphylococcus phage 42e, complete genome",45861,79,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Triavirus; Triavirus tv42e
NC_007053,"Staphylococcus phage 3A, complete genome",43095,67,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Triavirus; Triavirus tv3a
NC_007054,"Staphylococcus phage 47, complete genome",44777,65,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Triavirus; Triavirus tv47
NC_007055,"Staphylococcus phage 37, complete genome",43681,70,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Azeredovirinae; Phietavirus; Phietavirus pv37
NC_007056,"Staphylococcus phage EW, complete genome",45286,77,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Azeredovirinae; Phietavirus; Phietavirus EW
NC_007057,"Staphylococcus phage 96, complete genome",43576,74,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Azeredovirinae; Phietavirus; Phietavirus pv96
NC_007058,"Staphylococcus phage ROSA, complete genome",43155,74,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Azeredovirinae; Phietavirus; Phietavirus ROSA
NC_007059,"Staphylococcus phage 71, complete genome",43114,67,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Azeredovirinae; Phietavirus; Phietavirus pv71
NC_007060,"Staphylococcus phage 55, complete genome",41902,77,Viruses; Duplodnaviria; Heunggongvirae; Uroviricota; Caudoviricetes; Azeredovirinae; Phietavirus; Phietavirus pv55
