Order,MRCA,Leaves,Family,Family MRCA,Subfamily,Subfamily MRCA,Genus,Genus MRCA,Family_Names,Family_Source
Bolasvirales,NC_001629_NC_028692_0.467679,NC_054997,Bolasviridae,NC_001629_NC_029118_0.557319,Titaniavirinae,NC_001629_NC_055014_0.717896,Ceduovirus_1,NC_055000_NC_031075_0.78303,Bolasviridae,Newly Defined
Bolasvirales,NC_001629_NC_028692_0.467679,NC_054996,Bolasviridae,NC_001629_NC_029118_0.557319,Titaniavirinae,NC_001629_NC_055014_0.717896,Ceduovirus_1,NC_055000_NC_031075_0.78303,Bolasviridae,Newly Defined
Bolasvirales,NC_001629_NC_028692_0.467679,NC_055006,Bolasviridae,NC_001629_NC_029118_0.557319,Titaniavirinae,NC_001629_NC_055014_0.717896,Ceduovirus_1,NC_055000_NC_031075_0.78303,Bolasviridae,Newly Defined
Bolasvirales,NC_001629_NC_028692_0.467679,NC_055001,Bolasviridae,NC_001629_NC_029118_0.557319,Titaniavirinae,NC_001629_NC_055014_0.717896,Ceduovirus_1,NC_055000_NC_031075_0.78303,Bolasviridae,Newly Defined
Bolasvirales,NC_001629_NC_028692_0.467679,NC_055013,Bolasviridae,NC_001629_NC_029118_0.557319,Titaniavirinae,NC_001629_NC_055014_0.717896,Ceduovirus_1,NC_055000_NC_031075_0.78303,Bolasviridae,Newly Defined
Bolasvirales,NC_001629_NC_028692_0.467679,NC_054991,Bolasviridae,NC_001629_NC_029118_0.557319,Titaniavirinae,NC_001629_NC_055014_0.717896,Ceduovirus_1,NC_055000_NC_031075_0.78303,Bolasviridae,Newly Defined
Bolasvirales,NC_001629_NC_028692_0.467679,NC_055017,Bolasviridae,NC_001629_NC_029118_0.557319,Titaniavirinae,NC_001629_NC_055014_0.717896,Ceduovirus_1,NC_055000_NC_031075_0.78303,Bolasviridae,Newly Defined
Bolasvirales,NC_001629_NC_028692_0.467679,NC_055008,Bolasviridae,NC_001629_NC_029118_0.557319,Titaniavirinae,NC_001629_NC_055014_0.717896,Ceduovirus_1,NC_055000_NC_031075_0.78303,Bolasviridae,Newly Defined
Bolasvirales,NC_001629_NC_028692_0.467679,NC_055012,Bolasviridae,NC_001629_NC_029118_0.557319,Titaniavirinae,NC_001629_NC_055014_0.717896,Ceduovirus_1,NC_055000_NC_031075_0.78303,Bolasviridae,Newly Defined
Bolasvirales,NC_001629_NC_028692_0.467679,NC_055016,Bolasviridae,NC_001629_NC_029118_0.557319,Titaniavirinae,NC_001629_NC_055014_0.717896,Ceduovirus_1,NC_055000_NC_031075_0.78303,Bolasviridae,Newly Defined
Bolasvirales,NC_001629_NC_028692_0.467679,NC_055003,Bolasviridae,NC_001629_NC_029118_0.557319,Titaniavirinae,NC_001629_NC_055014_0.717896,Ceduovirus_1,NC_055000_NC_031075_0.78303,Bolasviridae,Newly Defined
Bolasvirales,NC_001629_NC_028692_0.467679,NC_055000,Bolasviridae,NC_001629_NC_029118_0.557319,Titaniavirinae,NC_001629_NC_055014_0.717896,Ceduovirus_1,NC_055000_NC_031075_0.78303,Bolasviridae,Newly Defined
Bolasvirales,NC_001629_NC_028692_0.467679,NC_055005,Bolasviridae,NC_001629_NC_029118_0.557319,Titaniavirinae,NC_001629_NC_055014_0.717896,Ceduovirus_1,NC_055000_NC_031075_0.78303,Bolasviridae,Newly Defined
Bolasvirales,NC_001629_NC_028692_0.467679,NC_055015,Bolasviridae,NC_001629_NC_029118_0.557319,Titaniavirinae,NC_001629_NC_055014_0.717896,Ceduovirus_1,NC_055000_NC_031075_0.78303,Bolasviridae,Newly Defined
Bolasvirales,NC_001629_NC_028692_0.467679,NC_054999,Bolasviridae,NC_001629_NC_029118_0.557319,Titaniavirinae,NC_001629_NC_055014_0.717896,Ceduovirus_1,NC_055000_NC_031075_0.78303,Bolasviridae,Newly Defined
Bolasvirales,NC_001629_NC_028692_0.467679,NC_055002,Bolasviridae,NC_001629_NC_029118_0.557319,Titaniavirinae,NC_001629_NC_055014_0.717896,Ceduovirus_1,NC_055000_NC_031075_0.78303,Bolasviridae,Newly Defined
Bolasvirales,NC_001629_NC_028692_0.467679,NC_055011,Bolasviridae,NC_001629_NC_029118_0.557319,Titaniavirinae,NC_001629_NC_055014_0.717896,Ceduovirus_1,NC_055000_NC_031075_0.78303,Bolasviridae,Newly Defined
Bolasvirales,NC_001629_NC_028692_0.467679,NC_029118,Bolasviridae,NC_001629_NC_029118_0.557319,Pulivirinae,NC_029118,Chertseyvirus,NC_029118,Bolasviridae,Newly Defined
Kestrosvirales,NC_017981_NC_054953_0.471102,NC_041908,Kestrosviridae,NC_048179_NC_041908_0.529883,Majritivirinae,NC_048179_NC_041908_0.529883,Kleczkowskavirus,NC_041908,Kestrosviridae,Newly Defined
Kestrosvirales,NC_017981_NC_054953_0.471102,NC_048863,Kestrosviridae,NC_048179_NC_041908_0.529883,Majritivirinae,NC_048179_NC_041908_0.529883,Rosemountvirus,NC_048179_NC_048863_0.809388,Kestrosviridae,Newly Defined
Kestrosvirales,NC_017981_NC_054953_0.471102,NC_048864,Kestrosviridae,NC_048179_NC_041908_0.529883,Majritivirinae,NC_048179_NC_041908_0.529883,Rosemountvirus,NC_048179_NC_048863_0.809388,Kestrosviridae,Newly Defined
Kestrosvirales,NC_017981_NC_054953_0.471102,NC_048763,Kestrosviridae,NC_048179_NC_041908_0.529883,Majritivirinae,NC_048179_NC_041908_0.529883,Rosemountvirus,NC_048179_NC_048863_0.809388,Kestrosviridae,Newly Defined
Kestrosvirales,NC_017981_NC_054953_0.471102,NC_048649,Kestrosviridae,NC_048179_NC_041908_0.529883,Majritivirinae,NC_048179_NC_041908_0.529883,Rosemountvirus,NC_048179_NC_048863_0.809388,Kestrosviridae,Newly Defined
Kestrosvirales,NC_017981_NC_054953_0.471102,NC_031250,Kestrosviridae,NC_048179_NC_041908_0.529883,Majritivirinae,NC_048179_NC_041908_0.529883,Rosemountvirus,NC_048179_NC_048863_0.809388,Kestrosviridae,Newly Defined
Kestrosvirales,NC_017981_NC_054953_0.471102,NC_048179,Kestrosviridae,NC_048179_NC_041908_0.529883,Majritivirinae,NC_048179_NC_041908_0.529883,Rosemountvirus,NC_048179_NC_048863_0.809388,Kestrosviridae,Newly Defined
Sarissavirales,NC_054989_NC_022972_0.478057,NC_048092,Sarissaviridae,NC_054989_NC_048094_0.513615,Poltergeistvirinae,NC_054989_NC_048094_0.513615,Bridgettevirus,NC_048092_NC_048094_0.806302,Sarissaviridae,Newly Defined
Sarissavirales,NC_054989_NC_022972_0.478057,NC_048091,Sarissaviridae,NC_054989_NC_048094_0.513615,Poltergeistvirinae,NC_054989_NC_048094_0.513615,Bridgettevirus,NC_048092_NC_048094_0.806302,Sarissaviridae,Newly Defined
Sarissavirales,NC_054989_NC_022972_0.478057,NC_054989,Sarissaviridae,NC_054989_NC_048094_0.513615,Poltergeistvirinae,NC_054989_NC_048094_0.513615,Agmunavirus,NC_054989,Sarissaviridae,Newly Defined
Sarissavirales,NC_054989_NC_022972_0.478057,NC_048095,Sarissaviridae,NC_054989_NC_048094_0.513615,Poltergeistvirinae,NC_054989_NC_048094_0.513615,Bridgettevirus,NC_048092_NC_048094_0.806302,Sarissaviridae,Newly Defined
Sarissavirales,NC_054989_NC_022972_0.478057,NC_048096,Sarissaviridae,NC_054989_NC_048094_0.513615,Poltergeistvirinae,NC_054989_NC_048094_0.513615,Bridgettevirus,NC_048092_NC_048094_0.806302,Sarissaviridae,Newly Defined
Sarissavirales,NC_054989_NC_022972_0.478057,NC_048094,Sarissaviridae,NC_054989_NC_048094_0.513615,Poltergeistvirinae,NC_054989_NC_048094_0.513615,Bridgettevirus,NC_048092_NC_048094_0.806302,Sarissaviridae,Newly Defined
Axehammervirales,NC_005357_NC_041964_0.477202,NC_041964,Axehammerviridae,NC_019420_NC_041964_0.520173,Awasisvirinae,NC_019420_NC_041964_0.520173,Kochitakasuvirus,NC_024123_NC_041964_0.881795,Axehammerviridae,Newly Defined
Axehammervirales,NC_005357_NC_041964_0.477202,NC_019420,Axehammerviridae,NC_019420_NC_041964_0.520173,Awasisvirinae,NC_019420_NC_041964_0.520173,Kafunavirus,NC_019420,Axehammerviridae,Newly Defined
Axehammervirales,NC_005357_NC_041964_0.477202,NC_024123,Axehammerviridae,NC_019420_NC_041964_0.520173,Awasisvirinae,NC_019420_NC_041964_0.520173,Kochitakasuvirus,NC_024123_NC_041964_0.881795,Axehammerviridae,Newly Defined
Gatlingvirales,NC_071016_NC_054961_0.524902,NC_054961,Gatlingviridae,NC_071016_NC_054961_0.524902,Caleuchevirinae,NC_071016_NC_054961_0.524902,Firingavirus,NC_022915_NC_054961_0.817204,Gatlingviridae,Newly Defined
Gatlingvirales,NC_071016_NC_054961_0.524902,NC_022915,Gatlingviridae,NC_071016_NC_054961_0.524902,Caleuchevirinae,NC_071016_NC_054961_0.524902,Firingavirus,NC_022915_NC_054961_0.817204,Gatlingviridae,Newly Defined
Gatlingvirales,NC_071016_NC_054961_0.524902,NC_071016,Gatlingviridae,NC_071016_NC_054961_0.524902,Caleuchevirinae,NC_071016_NC_054961_0.524902,Bocovirus,NC_071016,Gatlingviridae,Newly Defined
Bombardvirales,NC_031226_NC_048784_0.471477,NC_031099,Yataganviridae,NC_031255_NC_031099_0.640758,Kerberosvirinae,NC_031255_NC_031099_0.640758,Bowservirus,NC_031255_NC_031099_0.640758,Yataganviridae,Newly Defined
Bombardvirales,NC_031226_NC_048784_0.471477,NC_030930,Yataganviridae,NC_031255_NC_031099_0.640758,Kerberosvirinae,NC_031255_NC_031099_0.640758,Bowservirus,NC_031255_NC_031099_0.640758,Yataganviridae,Newly Defined
Bombardvirales,NC_031226_NC_048784_0.471477,NC_031255,Yataganviridae,NC_031255_NC_031099_0.640758,Kerberosvirinae,NC_031255_NC_031099_0.640758,Bowservirus,NC_031255_NC_031099_0.640758,Yataganviridae,Newly Defined
Tantovirales,NC_070876_NC_070827_0.505443,NC_070932,Tantoviridae,NC_070876_NC_070932_0.642424,Bergelmirvirinae,NC_070876_NC_070932_0.642424,Roslyckyvirus,NC_070876_NC_070932_0.642424,Tantoviridae,Newly Defined
Tantovirales,NC_070876_NC_070827_0.505443,NC_070876,Tantoviridae,NC_070876_NC_070932_0.642424,Bergelmirvirinae,NC_070876_NC_070932_0.642424,Roslyckyvirus,NC_070876_NC_070932_0.642424,Tantoviridae,Newly Defined
Bovirales,NC_070773_NC_070949_0.51002,NC_070773,Boviridae,NC_070773_NC_070772_0.532975,Indépendancevirinae,NC_070773_NC_070772_0.532975,Feofaniavirus,NC_070773_NC_070949_0.51002,Boviridae,Newly Defined
Bovirales,NC_070773_NC_070949_0.51002,NC_070772,Boviridae,NC_070773_NC_070772_0.532975,Indépendancevirinae,NC_070773_NC_070772_0.532975,Feofaniavirus,NC_070773_NC_070949_0.51002,Boviridae,Newly Defined
Madisavirales,NC_048070_NC_021322_0.476132,NC_048070,Naginataviridae,NC_048070_NC_042139_0.645916,Greipvirinae,NC_048070_NC_042139_0.645916,Syrbvirus,NC_048070_NC_021322_0.476132,Naginataviridae,Newly Defined
Madisavirales,NC_048070_NC_021322_0.476132,NC_042139,Naginataviridae,NC_048070_NC_042139_0.645916,Greipvirinae,NC_048070_NC_042139_0.645916,Syrbvirus,NC_048070_NC_021322_0.476132,Naginataviridae,Newly Defined
Ekuvirales,NC_000924_NC_049941_0.502556,NC_049941,Ekuviridae,NC_000924_NC_049941_0.502556,Epimetheusvirinae,NC_004813_NC_049941_0.63649,Sawaravirus,NC_049941,Ekuviridae,Newly Defined
Ekuvirales,NC_000924_NC_049941_0.502556,NC_049942,Ekuviridae,NC_000924_NC_049941_0.502556,Epimetheusvirinae,NC_004813_NC_049941_0.63649,Marienburgvirus_2,NC_049942,Ekuviridae,Newly Defined
Ekuvirales,NC_000924_NC_049941_0.502556,NC_049944,Ekuviridae,NC_000924_NC_049941_0.502556,Epimetheusvirinae,NC_004813_NC_049941_0.63649,Pankowvirus,NC_011357_NC_049944_0.823909,Ekuviridae,Newly Defined
Ekuvirales,NC_000924_NC_049941_0.502556,NC_049945,Ekuviridae,NC_000924_NC_049941_0.502556,Epimetheusvirinae,NC_004813_NC_049941_0.63649,Pankowvirus,NC_011357_NC_049944_0.823909,Ekuviridae,Newly Defined
Ekuvirales,NC_000924_NC_049941_0.502556,NC_049943,Ekuviridae,NC_000924_NC_049941_0.502556,Epimetheusvirinae,NC_004813_NC_049941_0.63649,Pankowvirus,NC_011357_NC_049944_0.823909,Ekuviridae,Newly Defined
Ekuvirales,NC_000924_NC_049941_0.502556,NC_004813,Ekuviridae,NC_000924_NC_049941_0.502556,Epimetheusvirinae,NC_004813_NC_049941_0.63649,Marienburgvirus_1,NC_004813_NC_011356_0.796801,Ekuviridae,Newly Defined
Ekuvirales,NC_000924_NC_049941_0.502556,NC_011356,Ekuviridae,NC_000924_NC_049941_0.502556,Epimetheusvirinae,NC_004813_NC_049941_0.63649,Marienburgvirus_1,NC_004813_NC_011356_0.796801,Ekuviridae,Newly Defined
Ekuvirales,NC_000924_NC_049941_0.502556,NC_011357,Ekuviridae,NC_000924_NC_049941_0.502556,Epimetheusvirinae,NC_004813_NC_049941_0.63649,Pankowvirus,NC_011357_NC_049944_0.823909,Ekuviridae,Newly Defined
Bombardvirales,NC_031226_NC_048784_0.471477,NC_070807,Bombardviridae,NC_031226_NC_070817_0.598908,Ilmarëvirinae,NC_070805_NC_070817_0.664061,Beenievirus_1,NC_070806_NC_070807_0.809506,Bombardviridae,Newly Defined
Bombardvirales,NC_031226_NC_048784_0.471477,NC_070805,Bombardviridae,NC_031226_NC_070817_0.598908,Ilmarëvirinae,NC_070805_NC_070817_0.664061,Beenievirus_3,NC_070805_NC_070815_0.710625,Bombardviridae,Newly Defined
Bombardvirales,NC_031226_NC_048784_0.471477,NC_070817,Bombardviridae,NC_031226_NC_070817_0.598908,Ilmarëvirinae,NC_070805_NC_070817_0.664061,Howevirus,NC_070818_NC_070817_0.738222,Bombardviridae,Newly Defined
Bombardvirales,NC_031226_NC_048784_0.471477,NC_070808,Bombardviridae,NC_031226_NC_070817_0.598908,Ilmarëvirinae,NC_070805_NC_070817_0.664061,Beenievirus_1,NC_070806_NC_070807_0.809506,Bombardviridae,Newly Defined
Bombardvirales,NC_031226_NC_048784_0.471477,NC_070813,Bombardviridae,NC_031226_NC_070817_0.598908,Ilmarëvirinae,NC_070805_NC_070817_0.664061,Beenievirus_1,NC_070806_NC_070807_0.809506,Bombardviridae,Newly Defined
Bombardvirales,NC_031226_NC_048784_0.471477,NC_070812,Bombardviridae,NC_031226_NC_070817_0.598908,Ilmarëvirinae,NC_070805_NC_070817_0.664061,Beenievirus_1,NC_070806_NC_070807_0.809506,Bombardviridae,Newly Defined
Bombardvirales,NC_031226_NC_048784_0.471477,NC_070811,Bombardviridae,NC_031226_NC_070817_0.598908,Ilmarëvirinae,NC_070805_NC_070817_0.664061,Beenievirus_1,NC_070806_NC_070807_0.809506,Bombardviridae,Newly Defined
Bombardvirales,NC_031226_NC_048784_0.471477,NC_070818,Bombardviridae,NC_031226_NC_070817_0.598908,Ilmarëvirinae,NC_070805_NC_070817_0.664061,Howevirus,NC_070818_NC_070817_0.738222,Bombardviridae,Newly Defined
Bombardvirales,NC_031226_NC_048784_0.471477,NC_070810,Bombardviridae,NC_031226_NC_070817_0.598908,Ilmarëvirinae,NC_070805_NC_070817_0.664061,Beenievirus_2,NC_070809_NC_070810_0.806565,Bombardviridae,Newly Defined
Bombardvirales,NC_031226_NC_048784_0.471477,NC_070809,Bombardviridae,NC_031226_NC_070817_0.598908,Ilmarëvirinae,NC_070805_NC_070817_0.664061,Beenievirus_2,NC_070809_NC_070810_0.806565,Bombardviridae,Newly Defined
Bombardvirales,NC_031226_NC_048784_0.471477,NC_070815,Bombardviridae,NC_031226_NC_070817_0.598908,Ilmarëvirinae,NC_070805_NC_070817_0.664061,Beenievirus_3,NC_070805_NC_070815_0.710625,Bombardviridae,Newly Defined
Bombardvirales,NC_031226_NC_048784_0.471477,NC_070814,Bombardviridae,NC_031226_NC_070817_0.598908,Ilmarëvirinae,NC_070805_NC_070817_0.664061,Beenievirus_3,NC_070805_NC_070815_0.710625,Bombardviridae,Newly Defined
Bombardvirales,NC_031226_NC_048784_0.471477,NC_070806,Bombardviridae,NC_031226_NC_070817_0.598908,Ilmarëvirinae,NC_070805_NC_070817_0.664061,Beenievirus_1,NC_070806_NC_070807_0.809506,Bombardviridae,Newly Defined
Arquebusvirales,NC_001335_NC_048854_0.460992,NC_041853,Qiangviridae,NC_002656_NC_042326_0.738455,Iapetusvirinae,NC_002656_NC_042326_0.738455,Fromanvirus_1,NC_009878_NC_042326_0.776138,Qiangviridae,Newly Defined
Arquebusvirales,NC_001335_NC_048854_0.460992,NC_002656,Qiangviridae,NC_002656_NC_042326_0.738455,Iapetusvirinae,NC_002656_NC_042326_0.738455,Fromanvirus_5,NC_002656_NC_023739_0.791694,Qiangviridae,Newly Defined
Arquebusvirales,NC_001335_NC_048854_0.460992,NC_023739,Qiangviridae,NC_002656_NC_042326_0.738455,Iapetusvirinae,NC_002656_NC_042326_0.738455,Fromanvirus_5,NC_002656_NC_023739_0.791694,Qiangviridae,Newly Defined
Arquebusvirales,NC_001335_NC_048854_0.460992,NC_009877,Qiangviridae,NC_002656_NC_042326_0.738455,Iapetusvirinae,NC_002656_NC_042326_0.738455,Fromanvirus_9,NC_009877,Qiangviridae,Newly Defined
Arquebusvirales,NC_001335_NC_048854_0.460992,NC_009878,Qiangviridae,NC_002656_NC_042326_0.738455,Iapetusvirinae,NC_002656_NC_042326_0.738455,Fromanvirus_1,NC_009878_NC_042326_0.776138,Qiangviridae,Newly Defined
Arquebusvirales,NC_001335_NC_048854_0.460992,NC_023704,Qiangviridae,NC_002656_NC_042326_0.738455,Iapetusvirinae,NC_002656_NC_042326_0.738455,Fromanvirus_1,NC_009878_NC_042326_0.776138,Qiangviridae,Newly Defined
Arquebusvirales,NC_001335_NC_048854_0.460992,NC_023687,Qiangviridae,NC_002656_NC_042326_0.738455,Iapetusvirinae,NC_002656_NC_042326_0.738455,Fromanvirus_1,NC_009878_NC_042326_0.776138,Qiangviridae,Newly Defined
Arquebusvirales,NC_001335_NC_048854_0.460992,NC_042321,Qiangviridae,NC_002656_NC_042326_0.738455,Iapetusvirinae,NC_002656_NC_042326_0.738455,Fromanvirus_1,NC_009878_NC_042326_0.776138,Qiangviridae,Newly Defined
Arquebusvirales,NC_001335_NC_048854_0.460992,NC_023726,Qiangviridae,NC_002656_NC_042326_0.738455,Iapetusvirinae,NC_002656_NC_042326_0.738455,Fromanvirus_1,NC_009878_NC_042326_0.776138,Qiangviridae,Newly Defined
Arquebusvirales,NC_001335_NC_048854_0.460992,NC_042327,Qiangviridae,NC_002656_NC_042326_0.738455,Iapetusvirinae,NC_002656_NC_042326_0.738455,Fromanvirus_1,NC_009878_NC_042326_0.776138,Qiangviridae,Newly Defined
Arquebusvirales,NC_001335_NC_048854_0.460992,NC_011019,Qiangviridae,NC_002656_NC_042326_0.738455,Iapetusvirinae,NC_002656_NC_042326_0.738455,Fromanvirus_1,NC_009878_NC_042326_0.776138,Qiangviridae,Newly Defined
Arquebusvirales,NC_001335_NC_048854_0.460992,NC_023695,Qiangviridae,NC_002656_NC_042326_0.738455,Iapetusvirinae,NC_002656_NC_042326_0.738455,Fromanvirus_1,NC_009878_NC_042326_0.776138,Qiangviridae,Newly Defined
Arquebusvirales,NC_001335_NC_048854_0.460992,NC_042324,Qiangviridae,NC_002656_NC_042326_0.738455,Iapetusvirinae,NC_002656_NC_042326_0.738455,Fromanvirus_1,NC_009878_NC_042326_0.776138,Qiangviridae,Newly Defined
Arquebusvirales,NC_001335_NC_048854_0.460992,NC_041985,Qiangviridae,NC_002656_NC_042326_0.738455,Iapetusvirinae,NC_002656_NC_042326_0.738455,Fromanvirus_1,NC_009878_NC_042326_0.776138,Qiangviridae,Newly Defined
Arquebusvirales,NC_001335_NC_048854_0.460992,NC_023702,Qiangviridae,NC_002656_NC_042326_0.738455,Iapetusvirinae,NC_002656_NC_042326_0.738455,Fromanvirus_1,NC_009878_NC_042326_0.776138,Qiangviridae,Newly Defined
Arquebusvirales,NC_001335_NC_048854_0.460992,NC_011020,Qiangviridae,NC_002656_NC_042326_0.738455,Iapetusvirinae,NC_002656_NC_042326_0.738455,Fromanvirus_1,NC_009878_NC_042326_0.776138,Qiangviridae,Newly Defined
Arquebusvirales,NC_001335_NC_048854_0.460992,NC_011267,Qiangviridae,NC_002656_NC_042326_0.738455,Iapetusvirinae,NC_002656_NC_042326_0.738455,Fromanvirus_1,NC_009878_NC_042326_0.776138,Qiangviridae,Newly Defined
Arquebusvirales,NC_001335_NC_048854_0.460992,NC_023710,Qiangviridae,NC_002656_NC_042326_0.738455,Iapetusvirinae,NC_002656_NC_042326_0.738455,Fromanvirus_1,NC_009878_NC_042326_0.776138,Qiangviridae,Newly Defined
Arquebusvirales,NC_001335_NC_048854_0.460992,NC_023720,Qiangviridae,NC_002656_NC_042326_0.738455,Iapetusvirinae,NC_002656_NC_042326_0.738455,Fromanvirus_1,NC_009878_NC_042326_0.776138,Qiangviridae,Newly Defined
Arquebusvirales,NC_001335_NC_048854_0.460992,NC_041852,Qiangviridae,NC_002656_NC_042326_0.738455,Iapetusvirinae,NC_002656_NC_042326_0.738455,Fromanvirus_1,NC_009878_NC_042326_0.776138,Qiangviridae,Newly Defined
Arquebusvirales,NC_001335_NC_048854_0.460992,NC_023748,Qiangviridae,NC_002656_NC_042326_0.738455,Iapetusvirinae,NC_002656_NC_042326_0.738455,Fromanvirus_1,NC_009878_NC_042326_0.776138,Qiangviridae,Newly Defined
Arquebusvirales,NC_001335_NC_048854_0.460992,NC_042329,Qiangviridae,NC_002656_NC_042326_0.738455,Iapetusvirinae,NC_002656_NC_042326_0.738455,Fromanvirus_1,NC_009878_NC_042326_0.776138,Qiangviridae,Newly Defined
Arquebusvirales,NC_001335_NC_048854_0.460992,NC_042326,Qiangviridae,NC_002656_NC_042326_0.738455,Iapetusvirinae,NC_002656_NC_042326_0.738455,Fromanvirus_1,NC_009878_NC_042326_0.776138,Qiangviridae,Newly Defined
Arquebusvirales,NC_001335_NC_048854_0.460992,NC_011021,Qiangviridae,NC_002656_NC_042326_0.738455,Iapetusvirinae,NC_002656_NC_042326_0.738455,Fromanvirus_1,NC_009878_NC_042326_0.776138,Qiangviridae,Newly Defined
Arquebusvirales,NC_001335_NC_048854_0.460992,NC_042320,Qiangviridae,NC_002656_NC_042326_0.738455,Iapetusvirinae,NC_002656_NC_042326_0.738455,Fromanvirus_1,NC_009878_NC_042326_0.776138,Qiangviridae,Newly Defined
Shotelvirales,NC_005178_NC_042082_0.464721,NC_020202,Shotelviridae,NC_005178_NC_027298_0.805368,Rocinantevirinae,NC_005178_NC_042082_0.464721,Casadabanvirus,NC_005178_NC_027298_0.805368,Shotelviridae,Newly Defined
Shotelvirales,NC_005178_NC_042082_0.464721,NC_061435,Shotelviridae,NC_005178_NC_027298_0.805368,Rocinantevirinae,NC_005178_NC_042082_0.464721,Casadabanvirus,NC_005178_NC_027298_0.805368,Shotelviridae,Newly Defined
Shotelvirales,NC_005178_NC_042082_0.464721,NC_061438,Shotelviridae,NC_005178_NC_027298_0.805368,Rocinantevirinae,NC_005178_NC_042082_0.464721,Casadabanvirus,NC_005178_NC_027298_0.805368,Shotelviridae,Newly Defined
