Sort,Isolate Sort,Realm,Subrealm,Kingdom,Subkingdom,Phylum,Subphylum,Class,Subclass,Order,Suborder,Family,Subfamily,Genus,Subgenus,Species,Exemplar or additional isolate,Virus name(s),Virus name abbreviation(s),Virus isolate designation,Virus GENBANK accession,Virus REFSEQ accession,Genome coverage,Genome composition,Host source,Exemplar GenBank Accession Number,Exemplar virus name,Exemplar isolate designation,Host/Source,Change,source_file,Virus name abbreviation,Proposed Rank,GenBank,submission_year,genome_accn
1569.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,Salasmaviridae,,Bundooravirus,,Bundooravirus whyphy,E,Bacillus phage WhyPhy,,,MW419775,NC_055917,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_055917
2218.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Deeyouvirinae,Nevillevirus,,Nevillevirus neville,E,Gordonia phage Neville,,,MH651182,NC_060131,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_060131
2220.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Deeyouvirinae,Nevillevirus,,Nevillevirus trax,E,Gordonia phage Trax,,,MK967378,NC_060132,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_060132
2219.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Deeyouvirinae,Nevillevirus,,Nevillevirus rabbitrun,E,Gordonia phage Rabbitrun,,,MT658805,NC_060133,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_060133
2222.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Deeyouvirinae,Octobienvirus,,Octobienvirus octobien14,E,Gordonia phage Octobien14,,,MH976515,NC_060134,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_060134
2223.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Deeyouvirinae,Octobienvirus,,Octobienvirus sephiroth,E,Gordonia Phage Sephiroth,,,MT684599,NC_060135,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_060135
2221.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Deeyouvirinae,Octobienvirus,,Octobienvirus kudefre,E,Gordonia phage Kudefre,,,OK040786,NC_060136,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_060136
2224.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Deeyouvirinae,Octobienvirus,,Octobienvirus syleon,E,Gordonia phage Syleon,,,MN444870,NC_060137,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_060137
3944.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Siatvirus,,Siatvirus Lz245,E,Klebsiella phage KpLz-2_45,,,MN871446,NC_061418,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_061418
3479.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Maaswegvirus,,Maaswegvirus Kp24,E,Klebsiella phage vB_KpM_FBKp24,,,MW394391,NC_061421,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_061421
2939.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Casadabanvirus,,Casadabanvirus R24,E,Pseudomonas phage YMC12/01/R24,,,MH643778,NC_061432,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_061432
2941.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Casadabanvirus,,Casadabanvirus spike,E,Pseudomonas phage Spike,,,MK144667,NC_061433,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_061433
2940.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Casadabanvirus,,Casadabanvirus R960,E,Pseudomonas phage YMC12/01/R960,,,MH643777,NC_061434,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_061434
2927.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Casadabanvirus,,Casadabanvirus JBD26,E,Pseudomonas phage JBD26,,,JN811560,NC_061435,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_061435
2919.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Casadabanvirus,,Casadabanvirus AIIMSPaB1,E,Pseudomonas phage AIIMS-Pa-B1,,,MW390886,NC_061436,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_061436
2924.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Casadabanvirus,,Casadabanvirus HW12,E,Pseudomonas phage vB_PaeS_PAO1_HW12,,,LT999987,NC_061437,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_061437
2922.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Casadabanvirus,,Casadabanvirus FET309,E,Pseudomonas phage F_ET309sp/Pa1651,,,KM389459,NC_061438,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_061438
2938.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Casadabanvirus,,Casadabanvirus PfII40a,E,Pseudomonas phage vB_PaeS_PcyII-40_PfII40a,,,LT608331,NC_061439,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_061439
2753.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Alexandravirus,,Alexandravirus SNUABM22,E,Erwinia phage pEa_SNUABM_22,,,MZ443785,NC_061440,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_061440
2751.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Alexandravirus,,Alexandravirus SNUABM16,E,Erwinia phage pEa_SNUABM_16,,,MZ443782,NC_061441,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_061441
2757.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Alexandravirus,,Alexandravirus SNUABM35,E,Erwinia phage pEa_SNUABM_35,,,MZ443788,NC_061442,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_061442
2749.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Alexandravirus,,Alexandravirus SNUABM2,E,Erwinia phage pEa_SNUABM_2,,,MZ443786,NC_061443,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_061443
2755.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Alexandravirus,,Alexandravirus SNUABM32,E,Erwinia phage pEa_SNUABM_32,,,MZ443774,NC_061444,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_061444
2750.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Alexandravirus,,Alexandravirus SNUABM3,E,Erwinia phage pEa_SNUABM_3,,,MZ443770,NC_061445,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_061445
2754.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Alexandravirus,,Alexandravirus SNUABM30,E,Erwinia phage pEa_SNUABM_30,,,MZ443778,NC_061446,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_061446
2756.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Alexandravirus,,Alexandravirus SNUABM33,E,Erwinia phage pEa_SNUABM_33,,,MZ443779,NC_061447,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_061447
2748.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Alexandravirus,,Alexandravirus SNUABM1,E,Erwinia phage pEa_SNUABM_1,,,MZ443776,NC_061448,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_061448
2752.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Alexandravirus,,Alexandravirus SNUABM17,E,Erwinia phage pEa_SNUABM_17,,,MZ443777,NC_061449,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_061449
3855.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Rivsvirus,,Rivsvirus SNUABM5,E,Erwinia phage pEa_SNUABM_5,,,MW366843,NC_061450,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_061450
4061.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Snuvirus,,Snuvirus SNUABM7,E,Erwinia phage pEa_SNUABM_7,,,MZ475896,NC_061451,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_061451
4095.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Tepukevirus,,Tepukevirus Psa21,E,Pseudomonas phage Psa21,,,MK552327,NC_062581,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_062581
3772.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Phabiovirus,,Phabiovirus phabio,E,Pseudomonas phage Phabio,,,MF042360,NC_062582,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_062582
1300.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Pantevenvirales,,Kyanoviridae,,Lowelvirus,,Lowelvirus tuscon4d,E,Synechococcus phage ACG-2014d,,,KJ019028,NC_062734,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_062734
1318.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Pantevenvirales,,Kyanoviridae,,Potamoivirus,,Potamoivirus tusconj,E,Synechococcus phage ACG-2014j,,,KJ019089,NC_062735,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_062735
1284.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Pantevenvirales,,Kyanoviridae,,Chalconvirus,,Chalconvirus acg2014e,E,Synechococcus phage ACG-2014e,,,KJ019054,NC_062736,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_062736
3091.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Elemovirus,,Elemovirus elemoB,E,Flavobacterium phage vB_FspP_elemoB_14-3B,elemoB_14-3B,,MT497068,NC_062741,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_062741
2624.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Stephanstirmvirinae,Phapecoctavirus,,Phapecoctavirus TSP7,E,Dompiswa phage TSP7_1,,,MW175890,NC_062742,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_062742
3092.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,,Elemovirus,,Elemovirus elemoC,E,Flavobacterium phage vB_FspP_elemoC_14-1A,elemoC_14-1A,,MT497067,NC_062743,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_062743
1491.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,Pervagoviridae,,Callevirus,,Callevirus Calle,E,Cellulophaga phage Calle_1,Calle_1,,MT732432,NC_062744,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_062744
1129.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,Forsetiviridae,,Freyavirus,,Freyavirus danklef,E,Polaribacter phage Danklef_1,Danklef_1,,MT732458,NC_062745,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_062745
1130.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,Forsetiviridae,,Freyavirus,,Freyavirus freya,E,Polaribacter phage Freya_1,Freya_1,,MT732463,NC_062746,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_062746
1374.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,Pachyviridae,,Gundelvirus,,Gundelvirus Gundel,E,Tenacibaculum phage Gundel_1,Gundel_1,,MT732474,NC_062747,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_062747
333.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,Aggregaviridae,,Harrekavirus,,Harrekavirus harreka,E,Olleya phage Harreka_1,Harreka_1,,MT732457,NC_062748,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_062748
1122.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,Duneviridae,,Ingelinevirus,,Ingelinevirus ingeline,E,Cellulophaga phage Ingeline_1,Ingeline_1,,MT732435,NC_062749,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_062749
1153.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,Helgolandviridae,,Leefvirus,,Leefvirus Leef,E,Polaribacter phage Leef_1,Leef_1,,MT732473,NC_062750,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_062750
1357.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,Molycolviridae,,Mollyvirus,,Mollyvirus molly,E,Maribacter phage Molly_1,Molly_1,,MT732451,NC_062751,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_062751
1356.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,Molycolviridae,,Mollyvirus,,Mollyvirus colly,E,Maribacter phage Colly_1,Colly_1,,MT732450,NC_062752,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_062752
463.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,Assiduviridae,,Nekkelsvirus,,Nekkelsvirus Nekkels,E,Cellulophaga phage Nekkels_1,Nekkels_1,,MT732443,NC_062753,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_062753
1954.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,Winoviridae,,Peternellavirus,,Peternellavirus peternella,E,Winogradskyella phage Peternella_1,Peternella_1,,MT732475,NC_062754,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_062754
180.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Crassvirales,,Intestiviridae,Crudevirinae,Diorhovirus,,Diorhovirus copri,E,uncultured phage cr49_1,,,MZ130474,NC_062764,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_062764
209.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Crassvirales,,Suoliviridae,Boorivirinae,Cohcovirus,,Cohcovirus splanchnicus,E,uncultured phage cr30_1,,,MZ130475,NC_062765,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_062765
177.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Crassvirales,,Intestiviridae,Crudevirinae,Delmidovirus,,Delmidovirus copri,E,uncultured phage cr123_1,,,MZ130476,NC_062766,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_062766
211.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Crassvirales,,Suoliviridae,Boorivirinae,Culoivirus,,Culoivirus faecalis,E,uncultured phage cr149_1,,,MZ130477,NC_062767,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_062767
193.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Crassvirales,,Steigviridae,Asinivirinae,Kolpuevirus,,Kolpuevirus coli,E,uncultured phage cr151_1,,,MZ130478,NC_062768,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_062768
170.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Crassvirales,,Intestiviridae,Churivirinae,Jahgtovirus,,Jahgtovirus gastrointestinalis,E,uncultured phage cr36_1,,,MZ130479,NC_062769,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_062769
182.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Crassvirales,,Intestiviridae,Crudevirinae,Drivevirus,,Drivevirus gastrointestinalis,E,uncultured phage cr91_1,,,MZ130480,NC_062770,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_062770
175.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Crassvirales,,Intestiviridae,Crudevirinae,Carjivirus,,Carjivirus hominis,E,uncultured phage cr99_1,,,MZ130481,NC_062771,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_062771
206.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Crassvirales,,Suoliviridae,Boorivirinae,Canhaevirus,,Canhaevirus faecalis,E,uncultured phage cr77_1,,,MZ130482,NC_062772,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_062772
189.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Crassvirales,,Steigviridae,Asinivirinae,Kahnovirus,,Kahnovirus copri,E,uncultured phage cr44_1,,,MZ130483,NC_062773,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_062773
171.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Crassvirales,,Intestiviridae,Churivirinae,Jahgtovirus,,Jahgtovirus intestinalis,E,uncultured phage cr54_1,,,MZ130484,NC_062774,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_062774
176.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Crassvirales,,Intestiviridae,Crudevirinae,Dabirmavirus,,Dabirmavirus hominis,E,uncultured phage cr9_1,,,MZ130486,NC_062776,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_062776
167.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Crassvirales,,Crevaviridae,Coarsevirinae,Junduvirus,,Junduvirus copri,E,uncultured phage cr25_1,,,MZ130487,NC_062777,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_062777
183.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Crassvirales,,Intestiviridae,Crudevirinae,Endlipuvirus,,Endlipuvirus intestinihominis,E,uncultured phage cr17_1,,,MZ130488,NC_062778,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_062778
166.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Crassvirales,,Crevaviridae,Coarsevirinae,Junduvirus,,Junduvirus communis,E,uncultured phage cr2_1,,,MZ130489,NC_062779,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_062779
169.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Crassvirales,,Crevaviridae,Doltivirinae,Kingevirus,,Kingevirus communis,E,uncultured phage cr13_1,,,MZ130490,NC_062780,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_062780
174.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Crassvirales,,Intestiviridae,Crudevirinae,Carjivirus,,Carjivirus communis,E,crAssphage,,,BK010471,NC_067194,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_067194
224.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Crassvirales,,Suoliviridae,Oafivirinae,Bohxovirus,,Bohxovirus oralis,E,uncultured phage cr61_1,,,MZ130491,NC_067209,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_067209
205.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Crassvirales,,Suoliviridae,Bearivirinae,Afonbuvirus,,Afonbuvirus intestinihominis,E,uncultured phage cr12_1,,,MZ130492,NC_067210,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_067210
220.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Crassvirales,,Suoliviridae,Loutivirinae,Buchavirus,,Buchavirus intestinalis,E,uncultured phage cr105_1,,,MZ130493,NC_067211,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_067211
237.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Crassvirales,,Suoliviridae,Uncouvirinae,Birpovirus,,Birpovirus hominis,E,uncultured phage cr19_1,,,MZ130494,NC_067212,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_067212
214.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Crassvirales,,Suoliviridae,Loutivirinae,Blohavirus,,Blohavirus faecalis,E,uncultured phage cr150_1,,,MZ130495,NC_067213,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_067213
221.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Crassvirales,,Suoliviridae,Loutivirinae,Buchavirus,,Buchavirus oralis,E,uncultured phage cr82_1,,,MZ130496,NC_067214,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_067214
229.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Crassvirales,,Suoliviridae,Oafivirinae,Burzaovirus,,Burzaovirus intestinihominis,E,uncultured phage cr29_1,,,MZ130497,NC_067215,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_067215
218.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Crassvirales,,Suoliviridae,Loutivirinae,Buchavirus,,Buchavirus hiberniae,E,uncultured phage cr16_1,,,MZ130498,NC_067216,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_067216
203.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Crassvirales,,Suoliviridae,Bearivirinae,Afonbuvirus,,Afonbuvirus coli,E,uncultured phage cr35_1,,,MZ130499,NC_067217,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_067217
232.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,Crassvirales,,Suoliviridae,Uncouvirinae,Aurodevirus,,Aurodevirus hiberniae,E,uncultured phage cr23_1,,,MZ130500,NC_067218,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_067218
2190.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,,Ceeclamvirinae,Bixzunavirus,,Bixzunavirus I3,E,Mycobacterium phage I3,,,MW822148,NC_067270,Partial genome,dsDNA,bacteria,,,,,,,,,,,NC_067270
1651.0,1.0,Duplodnaviria,,Heunggongvirae,,Uroviricota,,Caudoviricetes,,,,Schitoviridae,,Efbeekayvirus,,Efbeekayvirus Fbkp27,E,Klebsiella phage vB_KpP_FBKp27,,,MW394388,NC_068555,Complete genome,dsDNA,bacteria,,,,,,,,,,,NC_068555
