METADATA
SEPARATOR COMMA
FIELD_LABELS,RED_scores
NC_070865|NC_041907,0.888292
NC_070865,1.000000
NC_041907,1.000000
NC_027388|NC_070862,0.877838
NC_027388,1.000000
NC_031104|NC_070862,0.904442
NC_031104,1.000000
NC_070862,1.000000
NC_070864,1.000000
NC_055919|NC_070860,0.640457
NC_055919|NC_068555,0.822750
NC_055919,1.000000
NC_068555,1.000000
NC_070861|NC_070860,0.740131
NC_070861,1.000000
NC_048653|NC_070860,0.800259
NC_048653|NC_048659,0.810432
NC_048653|NC_048704,0.862799
NC_048653,1.000000
NC_048654|NC_048704,0.886633
NC_048654,1.000000
NC_048704,1.000000
NC_048659,1.000000
NC_070860,1.000000
NC_008720|NC_055823,0.555190
NC_008720|NC_019514,0.572532
NC_008720|NC_070854,0.600942
NC_008720|NC_048639,0.631537
NC_008720|NC_070858,0.653081
NC_008720|NC_055840,0.665439
NC_008720|NC_049510,0.679073
NC_008720|NC_054970,0.690861
NC_008720|NC_070850,0.717527
NC_008720,1.000000
NC_048700|NC_070850,0.742948
NC_048700,1.000000
NC_070850,1.000000
NC_023556|NC_054970,0.716187
NC_023556|NC_054972,0.767176
NC_023556,1.000000
NC_028908|NC_054972,0.781878
NC_028908|NC_054969,0.875775
NC_028908,1.000000
NC_054967|NC_054969,0.931995
NC_054967|NC_054968,0.946348
NC_054967,1.000000
NC_054968,1.000000
NC_054969,1.000000
NC_054971|NC_054972,0.850968
NC_054971,1.000000
NC_054972,1.000000
NC_054970,1.000000
NC_023579|NC_049510,0.747799
NC_023579|NC_031062,0.900778
NC_023579,1.000000
NC_031062,1.000000
NC_049510,1.000000
NC_070868|NC_055840,0.685230
NC_070868|NC_070847,0.700122
NC_070868|NC_070849,0.752018
NC_070868|NC_048703,0.789201
NC_070868|NC_049463,0.872722
NC_070868|NC_070867,0.889708
NC_070868,1.000000
NC_070867,1.000000
NC_049463,1.000000
NC_048703,1.000000
NC_070849,1.000000
NC_070847,1.000000
NC_055840,1.000000
NC_070858,1.000000
NC_049456|NC_048639,0.655374
NC_049456,1.000000
NC_048638|NC_048639,0.874798
NC_048638,1.000000
NC_048639,1.000000
NC_027348|NC_070854,0.625050
NC_027348|NC_049469,0.664139
NC_027348,1.000000
NC_070857|NC_049469,0.779983
NC_070857,1.000000
NC_049469,1.000000
NC_070853|NC_070854,0.796383
NC_070853|NC_070851,0.815089
NC_070853|NC_070855,0.908225
NC_070853,1.000000
NC_070855,1.000000
NC_070852|NC_070851,0.895498
NC_070852,1.000000
NC_070851,1.000000
NC_070856|NC_070854,0.862802
NC_070856,1.000000
NC_070854,1.000000
NC_019485|NC_019514,0.619995
NC_019485|NC_027381,0.649163
NC_019485,1.000000
NC_021772|NC_027381,0.769647
NC_021772|NC_049467,0.780041
NC_021772|NC_021782,0.855278
NC_021772,1.000000
NC_021782,1.000000
NC_055921|NC_049467,0.810345
NC_055921,1.000000
NC_049444|NC_049467,0.859407
NC_049444,1.000000
NC_049467,1.000000
NC_027381,1.000000
NC_019514,1.000000
NC_020848|NC_055823,0.571389
NC_020848|NC_049379,0.745830
NC_020848|NC_020849,0.770527
NC_020848|NC_049431,0.794513
NC_020848,1.000000
NC_049431,1.000000
NC_020849,1.000000
NC_049430|NC_049379,0.802659
NC_049430,1.000000
NC_049379,1.000000
NC_055735|NC_055823,0.578367
NC_055735|NC_055784,0.606553
NC_055735|NC_055736,0.875058
NC_055735,1.000000
NC_055736,1.000000
NC_055824|NC_055784,0.619254
NC_055824|NC_070848,0.653691
NC_055824,1.000000
NC_049350|NC_070848,0.723853
NC_049350|NC_055717,0.783719
NC_049350|NC_028799,0.825318
NC_049350,1.000000
NC_028799,1.000000
NC_055717,1.000000
NC_070848,1.000000
NC_055784,1.000000
NC_023581|NC_055823,0.698441
NC_023581,1.000000
NC_055823,1.000000
NC_015933|NC_070870,0.713169
NC_015933|NC_070872,0.724180
NC_015933|NC_023589,0.759370
NC_015933|NC_070874,0.771530
NC_015933|NC_070869,0.784720
NC_015933,1.000000
NC_024786|NC_070869,0.801903
NC_024786|NC_024790,0.863504
NC_024786,1.000000
NC_024790,1.000000
NC_070869,1.000000
NC_018854|NC_070874,0.796928
NC_018854|NC_041906,0.820986
NC_018854|NC_019423,0.852559
NC_018854,1.000000
NC_019423,1.000000
NC_024142|NC_041906,0.835754
NC_024142,1.000000
NC_041906,1.000000
NC_070873|NC_070874,0.805516
NC_070873,1.000000
NC_070874,1.000000
NC_023589,1.000000
NC_070871|NC_070872,0.750712
NC_070871,1.000000
NC_070872,1.000000
NC_070870,1.000000
NC_012696|NC_020862,0.640247
NC_012696|NC_049345,0.707591
NC_012696|NC_049371,0.722480
NC_012696|NC_049436,0.767341
NC_012696|NC_049372,0.769678
NC_012696|NC_049435,0.812439
NC_012696,1.000000
NC_049435,1.000000
NC_070859|NC_049372,0.835823
NC_070859,1.000000
NC_049372,1.000000
NC_024367|NC_049436,0.805952
NC_024367,1.000000
NC_049436,1.000000
NC_049371,1.000000
NC_049345,1.000000
NC_020862,1.000000
NC_048121|NC_048125,0.792604
NC_048121,1.000000
NC_048122|NC_048125,0.860524
NC_048122|NC_048124,0.884481
NC_048122,1.000000
NC_048124,1.000000
NC_048125,1.000000
NC_000924|NC_048830,0.386312
NC_000924|NC_062745,0.391262
NC_000924|NC_021803,0.401203
NC_000924|NC_019931,0.406383
NC_000924|NC_005344,0.427350
NC_000924|NC_049941,0.502556
NC_000924|NC_049917,0.646513
NC_000924|NC_029120,0.654677
NC_000924|NC_008464,0.724791
NC_000924|NC_049925,0.740188
NC_000924|NC_049921,0.756337
NC_000924|NC_049923,0.784503
NC_000924,1.000000
NC_004914|NC_049923,0.801232
NC_004914,1.000000
NC_049922|NC_049923,0.870454
NC_049922,1.000000
NC_049923,1.000000
NC_010237|NC_049921,0.781010
NC_010237|NC_027984,0.819025
NC_010237|NC_049924,0.852049
NC_010237,1.000000
NC_049924,1.000000
NC_027984,1.000000
NC_049919|NC_049921,0.857893
NC_049919,1.000000
NC_049920|NC_049921,0.865070
NC_049920,1.000000
NC_049921,1.000000
NC_041935|NC_049925,0.843273
NC_041935,1.000000
NC_049925,1.000000
NC_008464,1.000000
NC_025434|NC_029120,0.882687
NC_025434,1.000000
NC_029120,1.000000
NC_019442|NC_049917,0.796613
NC_019442|NC_028660,0.827411
NC_019442,1.000000
NC_028660,1.000000
NC_028449|NC_049917,0.818829
NC_028449|NC_049918,0.856638
NC_028449,1.000000
NC_049918,1.000000
NC_028685|NC_049917,0.838753
NC_028685,1.000000
NC_049917,1.000000
NC_004813|NC_049941,0.636490
NC_004813|NC_049942,0.696049
NC_004813|NC_049944,0.749726
NC_004813|NC_011356,0.796801
NC_004813,1.000000
NC_011356,1.000000
NC_011357|NC_049944,0.823909
NC_011357|NC_049945,0.844976
NC_011357|NC_049943,0.874184
NC_011357,1.000000
NC_049943,1.000000
NC_049945,1.000000
NC_049944,1.000000
NC_049942,1.000000
NC_049941,1.000000
NC_000935|NC_005344,0.491345
NC_000935|NC_048178,0.510950
NC_000935|NC_011551,0.826520
NC_000935,1.000000
NC_011551,1.000000
NC_048067|NC_048178,0.682539
NC_048067,1.000000
NC_048112|NC_048178,0.694619
NC_048112,1.000000
NC_047862|NC_048178,0.775621
NC_047862,1.000000
NC_048113|NC_048178,0.798036
NC_048113,1.000000
NC_047742|NC_048178,0.819785
NC_047742,1.000000
NC_048178,1.000000
NC_002371|NC_005344,0.607380
NC_002371|NC_002730,0.633318
NC_002371|NC_042346,0.659679
NC_002371,1.000000
NC_004348|NC_042346,0.720781
NC_004348|NC_011802,0.740172
NC_004348,1.000000
NC_011802,1.000000
NC_042346,1.000000
NC_002730,1.000000
NC_005344,1.000000
NC_001271|NC_019931,0.413089
NC_001271|NC_070881,0.422814
NC_001271|NC_022751,0.432831
NC_001271|NC_070978,0.466469
NC_001271|NC_015158,0.474100
NC_001271|NC_048029,0.501186
NC_001271|NC_047700,0.533625
NC_001271|NC_048131,0.549208
NC_001271|NC_025431,0.573409
NC_001271|NC_048059,0.659544
NC_001271|NC_023548,0.681567
NC_001271|NC_048164,0.709932
NC_001271|NC_048138,0.718054
NC_001271|NC_048002,0.736898
NC_001271|NC_047867,0.768096
NC_001271|NC_029102,0.814687
NC_001271|NC_047844,0.820580
NC_001271|NC_047843,0.835479
NC_001271|NC_071009,0.855777
NC_001271|NC_025451,0.888120
NC_001271,1.000000
NC_025451,1.000000
NC_031066|NC_071009,0.861329
NC_031066|NC_047774,0.870162
NC_031066|NC_031092,0.919898
NC_031066,1.000000
NC_031092,1.000000
NC_047774,1.000000
NC_071009,1.000000
NC_010807|NC_047843,0.866474
NC_010807|NC_048063,0.892903
NC_010807,1.000000
NC_048063,1.000000
NC_047843,1.000000
NC_028880|NC_047844,0.852980
NC_028880|NC_047755,0.864377
NC_028880,1.000000
NC_047755,1.000000
NC_047766|NC_047844,0.887746
NC_047766,1.000000
NC_047844,1.000000
NC_028795|NC_029102,0.885259
NC_028795,1.000000
NC_029102,1.000000
NC_003298|NC_047867,0.953287
NC_003298,1.000000
NC_047867,1.000000
NC_019510|NC_048002,0.766102
NC_019510|NC_047963,0.791917
NC_019510,1.000000
NC_047886|NC_047963,0.850080
NC_047886,1.000000
NC_047963,1.000000
NC_047797|NC_048002,0.800927
NC_047797|NC_047819,0.887806
NC_047797|NC_047801,0.944972
NC_047797,1.000000
NC_047801,1.000000
NC_047819,1.000000
NC_048002,1.000000
NC_008694|NC_048138,0.752218
NC_008694|NC_028772,0.757426
NC_008694|NC_031115,0.770881
NC_008694|NC_028655,0.792654
NC_008694|NC_047789,0.839937
NC_008694|NC_047984,0.844960
NC_008694|NC_023715,0.901733
NC_008694|NC_011038,0.937702
NC_008694,1.000000
NC_011038,1.000000
NC_023715,1.000000
NC_011040|NC_047984,0.857389
NC_011040|NC_048105,0.873959
NC_011040|NC_015249,0.874654
NC_011040|NC_031258,0.894836
NC_011040|NC_011534,0.901129
NC_011040|NC_022744,0.919940
NC_011040,1.000000
NC_022744,1.000000
NC_011534,1.000000
NC_028822|NC_031258,0.906267
NC_028822|NC_048108,0.923691
NC_028822,1.000000
NC_048108,1.000000
NC_031258,1.000000
NC_015249,1.000000
NC_048105,1.000000
NC_047984,1.000000
NC_028863|NC_047789,0.846913
NC_028863|NC_048180,0.902250
NC_028863,1.000000
NC_048180,1.000000
NC_071037|NC_047789,0.872338
NC_071037,1.000000
NC_047789,1.000000
NC_019416|NC_028655,0.815632
NC_019416|NC_047942,0.910957
NC_019416,1.000000
NC_047942,1.000000
NC_028655,1.000000
NC_011085|NC_031115,0.876041
NC_011085,1.000000
NC_031115,1.000000
NC_028772,1.000000
NC_011043|NC_048138,0.777372
NC_011043|NC_047761,0.782400
NC_011043|NC_047908,0.799912
NC_011043|NC_047782,0.832454
NC_011043|NC_047968,0.839617
NC_011043|NC_047771,0.849325
NC_011043|NC_028688,0.873030
NC_011043|NC_047772,0.894691
NC_011043,1.000000
NC_047772,1.000000
NC_028688,1.000000
NC_028800|NC_047771,0.856883
NC_028800|NC_048175,0.888007
NC_028800,1.000000
NC_048175,1.000000
NC_047771,1.000000
NC_015719|NC_047968,0.845350
NC_015719|NC_048114,0.867192
NC_015719|NC_047980,0.873178
NC_015719,1.000000
NC_047798|NC_047980,0.885471
NC_047798|NC_047971,0.902275
NC_047798,1.000000
NC_047971,1.000000
NC_047842|NC_047980,0.903734
NC_047842|NC_047969,0.930042
NC_047842|NC_047970,0.947645
NC_047842,1.000000
NC_047970,1.000000
NC_047969,1.000000
NC_047980,1.000000
NC_048114,1.000000
NC_047799|NC_047968,0.868878
NC_047799,1.000000
NC_047968,1.000000
NC_028977|NC_047782,0.843083
NC_028977|NC_048014,0.866368
NC_028977,1.000000
NC_047773|NC_048014,0.931057
NC_047773,1.000000
NC_048014,1.000000
NC_047780|NC_047782,0.900444
NC_047780,1.000000
NC_047781|NC_047782,0.915768
NC_047781,1.000000
NC_047782,1.000000
NC_047908,1.000000
NC_013647|NC_047761,0.801275
NC_013647,1.000000
NC_047761,1.000000
NC_048138,1.000000
NC_001604|NC_048164,0.753140
NC_001604|NC_015271,0.776573
NC_001604|NC_011045,0.792101
NC_001604|NC_047940,0.804459
NC_001604|NC_048004,0.812019
NC_001604|NC_048163,0.828052
NC_001604,1.000000
NC_031114|NC_048163,0.850088
NC_031114|NC_048078,0.871458
NC_031114|NC_048079,0.908116
NC_031114,1.000000
NC_048079,1.000000
NC_048078,1.000000
NC_048082|NC_048163,0.876613
NC_048082,1.000000
NC_048163,1.000000
NC_027387|NC_048004,0.859588
NC_027387,1.000000
NC_047895|NC_048004,0.875509
NC_047895,1.000000
NC_048004,1.000000
NC_047939|NC_047940,0.901356
NC_047939,1.000000
NC_047940,1.000000
NC_011045,1.000000
NC_015271,1.000000
NC_047923|NC_048164,0.850577
NC_047923,1.000000
NC_048164,1.000000
NC_007636|NC_023548,0.708955
NC_007636|NC_048161,0.752086
NC_007636|NC_048136,0.765559
NC_007636|NC_023576,0.779288
NC_007636|NC_047927,0.792291
NC_007636|NC_047808,0.821214
NC_007636|NC_031943,0.832884
NC_007636|NC_048023,0.843326
NC_007636|NC_031123,0.867854
NC_007636,1.000000
NC_031018|NC_031123,0.875823
NC_031018,1.000000
NC_031123,1.000000
NC_011042|NC_048023,0.859052
NC_011042|NC_047829,0.892631
NC_011042,1.000000
NC_047829,1.000000
NC_024379|NC_048023,0.902877
NC_024379,1.000000
NC_048023,1.000000
NC_031937|NC_031943,0.844828
NC_031937,1.000000
NC_031943,1.000000
NC_047808,1.000000
NC_047777|NC_047927,0.857199
NC_047777,1.000000
NC_047927,1.000000
NC_023576,1.000000
NC_048135|NC_048136,0.768401
NC_048135,1.000000
NC_048071|NC_048136,0.822960
NC_048071,1.000000
NC_048136,1.000000
NC_023558|NC_048161,0.835209
NC_023558,1.000000
NC_048025|NC_048161,0.903056
NC_048025,1.000000
NC_048161,1.000000
NC_047934|NC_023548,0.729086
NC_047934|NC_048052,0.746681
NC_047934|NC_047935,0.836206
NC_047934|NC_047937,0.887284
NC_047934,1.000000
NC_047936|NC_047937,0.948118
NC_047936,1.000000
NC_047937,1.000000
NC_047935,1.000000
NC_047964|NC_048052,0.920206
NC_047964,1.000000
NC_048052,1.000000
NC_023548,1.000000
NC_004665|NC_048059,0.670733
NC_004665|NC_047832,0.686506
NC_004665|NC_054890,0.755410
NC_004665|NC_047874,0.781608
NC_004665|NC_048200,0.783962
NC_004665|NC_028661,0.822169
NC_004665,1.000000
NC_028661,1.000000
NC_015208|NC_048200,0.817102
NC_015208|NC_047873,0.830576
NC_015208|NC_047997,0.844396
NC_015208|NC_015264,0.859779
NC_015208,1.000000
NC_015264,1.000000
NC_047965|NC_047997,0.883438
NC_047965,1.000000
NC_047997,1.000000
NC_021062|NC_047873,0.882995
NC_021062|NC_027292,0.915212
NC_021062,1.000000
NC_027292,1.000000
NC_047873,1.000000
NC_047981|NC_048200,0.858320
NC_047981,1.000000
NC_048200,1.000000
NC_024362|NC_047874,0.836291
NC_024362|NC_047827,0.912220
NC_024362|NC_047826,0.930540
NC_024362,1.000000
NC_047747|NC_047826,0.939267
NC_047747,1.000000
NC_047826,1.000000
NC_047827,1.000000
NC_047874,1.000000
NC_047922|NC_054890,0.797672
NC_047922|NC_048201,0.856321
NC_047922,1.000000
NC_048201,1.000000
NC_054890,1.000000
NC_007149|NC_047832,0.700981
NC_007149|NC_047982,0.732849
NC_007149|NC_013651,0.872411
NC_007149|NC_015159,0.917813
NC_007149,1.000000
NC_015159,1.000000
NC_013651,1.000000
NC_023005|NC_047982,0.783010
NC_023005,1.000000
NC_047982,1.000000
NC_023736|NC_047832,0.726872
NC_023736|NC_047751,0.772808
NC_023736|NC_028702,0.827678
NC_023736,1.000000
NC_028702,1.000000
NC_047751,1.000000
NC_047831|NC_047832,0.849205
NC_047831,1.000000
NC_047832,1.000000
NC_047961|NC_048059,0.843857
NC_047961|NC_048060,0.880454
NC_047961|NC_048057,0.911920
NC_047961,1.000000
NC_048057,1.000000
NC_048060,1.000000
NC_048059,1.000000
NC_048050|NC_025431,0.603667
NC_048050|NC_047704,0.634939
NC_048050|NC_020483,0.654619
NC_048050|NC_047703,0.701041
NC_048050|NC_020482,0.721767
NC_048050,1.000000
NC_020482,1.000000
NC_047703,1.000000
NC_047701|NC_020483,0.731172
NC_047701|NC_047705,0.752820
NC_047701,1.000000
NC_047705,1.000000
NC_047702|NC_020483,0.789178
NC_047702,1.000000
NC_020483,1.000000
NC_047888|NC_047704,0.697617
NC_047888|NC_047946,0.853671
NC_047888,1.000000
NC_047946,1.000000
NC_047704,1.000000
NC_047738|NC_025431,0.634393
NC_047738,1.000000
NC_025431,1.000000
NC_024329|NC_048131,0.588411
NC_024329,1.000000
NC_047834|NC_048131,0.612436
NC_047834,1.000000
NC_047741|NC_048131,0.636535
NC_047741,1.000000
NC_048129|NC_048131,0.858356
NC_048129|NC_048130,0.882981
NC_048129,1.000000
NC_048130,1.000000
NC_048131,1.000000
NC_003390|NC_047700,0.569571
NC_003390|NC_025455,0.604966
NC_003390|NC_020872,0.612431
NC_003390,1.000000
NC_006882|NC_020872,0.625172
NC_006882|NC_020867,0.648834
NC_006882|NC_016659,0.668562
NC_006882|NC_047709,0.687899
NC_006882|NC_047710,0.717404
NC_006882|NC_048026,0.796148
NC_006882,1.000000
NC_048026,1.000000
NC_048183|NC_047710,0.725889
NC_048183|NC_048184,0.748454
NC_048183|NC_048171,0.794409
NC_048183,1.000000
NC_048171,1.000000
NC_048184,1.000000
NC_047710,1.000000
NC_020838|NC_047709,0.716434
NC_020838,1.000000
NC_047709,1.000000
NC_016656|NC_016659,0.678387
NC_016656|NC_020878,0.690412
NC_016656|NC_016658,0.764794
NC_016656|NC_020874,0.831573
NC_016656,1.000000
NC_020874,1.000000
NC_016658,1.000000
NC_020878,1.000000
NC_016657|NC_016659,0.793982
NC_016657|NC_020835,0.868731
NC_016657,1.000000
NC_020835,1.000000
NC_016659,1.000000
NC_020867,1.000000
NC_009531|NC_020872,0.651202
NC_009531|NC_029031,0.683915
NC_009531,1.000000
NC_029031,1.000000
NC_020872,1.000000
NC_025455,1.000000
NC_047706|NC_047700,0.638262
NC_047706|NC_047708,0.670809
NC_047706|NC_047707,0.786960
NC_047706,1.000000
NC_047707,1.000000
NC_047711|NC_047708,0.718011
NC_047711,1.000000
NC_047708,1.000000
NC_047700,1.000000
NC_004831|NC_048029,0.533705
NC_004831|NC_047802,0.633203
NC_004831|NC_025450,0.682016
NC_004831|NC_047917,0.692480
NC_004831|NC_028916,0.731886
NC_004831|NC_019403,0.762821
NC_004831|NC_047920,0.785596
NC_004831|NC_031271,0.865921
NC_004831|NC_020414,0.890678
NC_004831,1.000000
NC_020414,1.000000
NC_031271,1.000000
NC_007637|NC_047920,0.808811
NC_007637|NC_047809,0.846065
NC_007637,1.000000
NC_047806|NC_047809,0.877942
NC_047806|NC_047807,0.902144
NC_047806,1.000000
NC_047807,1.000000
NC_047809,1.000000
NC_008152|NC_047920,0.823215
NC_008152|NC_047889,0.837676
NC_008152|NC_047899,0.838623
NC_008152|NC_048064,0.859976
NC_008152,1.000000
NC_047769|NC_048064,0.880145
NC_047769,1.000000
NC_048064,1.000000
NC_047899,1.000000
NC_047889,1.000000
NC_047920,1.000000
NC_019403,1.000000
NC_027379|NC_028916,0.784485
NC_027379|NC_047858,0.817358
NC_027379,1.000000
NC_047858,1.000000
NC_027390|NC_028916,0.803493
NC_027390,1.000000
NC_028916,1.000000
NC_009014|NC_047917,0.844592
NC_009014,1.000000
NC_047917,1.000000
NC_019542|NC_025450,0.709100
NC_019542,1.000000
NC_025450,1.000000
NC_047821|NC_047802,0.656021
NC_047821|NC_047746,0.697891
NC_047821|NC_047836,0.939707
NC_047821,1.000000
NC_047836,1.000000
NC_047956|NC_047746,0.717703
NC_047956|NC_047894,0.809265
NC_047956|NC_047955,0.823271
NC_047956|NC_047957,0.920439
NC_047956,1.000000
NC_047957,1.000000
NC_047954|NC_047955,0.844867
NC_047954,1.000000
NC_047955,1.000000
NC_047894,1.000000
NC_047903|NC_047746,0.756180
NC_047903,1.000000
NC_025822|NC_047746,0.803442
NC_025822|NC_047803,0.887671
